"sampleID","sample_date","sample_time","area","transect","plot","medium","depth","Year","DOY","parameter","result_value","unit","constituent","instrument","ddl","detection_FLAG"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"pH",7.01,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"SpC",451,"uS/CM","CHEM","Probe",-10,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"ORP",190,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"temp",33.7,"C","CHEM","Probe",-10,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"DOC",6.964968027,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"TC",39.61960603,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"Cl",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"SO4",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"NH4",NA,"UG/L","NUTRIENT","NUTRIENT",0.091,NA
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"SRP",NA,"UG/L","NUTRIENT","NUTRIENT",0.019,NA
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"Fe_II",0.03,"MG/L","TE","Hach",0.03,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"Mn_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"Fe_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"P",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"Ca",42.9448865,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"Mg",14.28206204,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"Si",15.35,"UG/L","TE","ICP-MS",30.7,"<"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"DIC",32.654638003,"MG/L","C","TOC-L",0.1,"NONE"
