"sampleID","sample_date","sample_time","area","transect","plot","medium","depth","Year","DOY","parameter","result_value","unit","constituent","instrument","ddl","detection_FLAG"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"pH",6.85,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"SpC",951,"uS/CM","CHEM","Probe",-10,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"ORP",-165,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"temp",31.9,"C","CHEM","Probe",-10,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"DOC",20.94,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"TC",99.971,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Cl",141.35,"MG/L","ANION","IC",0.1,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"SO4",6.83,"MG/L","ANION","IC",0.1,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"NH4",NA,"UG/L","NUTRIENT","NUTRIENT",0.091,NA
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"SRP",NA,"UG/L","NUTRIENT","NUTRIENT",0.019,NA
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Fe_II",20.25,"MG/L","TE","Hach",0.03,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Mn_OES",6.891388751,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Fe_OES",24.26975353,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"P",1.007765462,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Ca",139.4044109,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Mg",43.97831592,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Be",0.008,"UG/L","TE","ICP-MS",0.016,"<"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Na",71775.06701,"UG/L","CATION","ICP-MS",27.4,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Al",13.73377047,"UG/L","TE","ICP-MS",0.7,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Si",14564.35799,"UG/L","TE","ICP-MS",30.7,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"K",1230.894154,"UG/L","CATION","ICP-MS",18.8,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"V",0.329785206,"UG/L","TE","ICP-MS",0.018,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Cr",0.117736573,"UG/L","TE","ICP-MS",0.042,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Mn",6316.608653,"UG/L","TE","ICP-MS",0.04,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Fe",23155.41932,"UG/L","TE","ICP-MS",0.66,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Co",1.912620556,"UG/L","TE","ICP-MS",0.002,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Ni",0.176,"UG/L","TE","ICP-MS",0.352,"<"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Cu",0.165444172,"UG/L","TE","ICP-MS",0.039,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Zn",0.387,"UG/L","TE","ICP-MS",0.774,"<"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"As",13.85219919,"UG/L","TE","ICP-MS",0.007,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Se",2.106140737,"UG/L","TE","ICP-MS",0.03,"NONE"
"CoBRA2023-1",2023-03-08,10H 5M 0S,"WLD","young",4,"WI",20,2023,67,"Sr",508.824946,"UG/L","TE","ICP-MS",0.05,"NONE"
