"sampleID","sample_date","sample_time","area","transect","plot","medium","depth","Year","DOY","parameter","result_value","unit","constituent","instrument","ddl","detection_FLAG"
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"pH",7.14,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"SpC",NA,"uS/CM","CHEM","Probe",-10,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"ORP",-402,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"temp",16.8,"C","CHEM","Probe",-10,"NONE"
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"DOC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"TC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"Cl",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"SO4",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"NH4",NA,"UG/L","NUTRIENT","NUTRIENT",0.091,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"SRP",NA,"UG/L","NUTRIENT","NUTRIENT",0.019,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"Fe_II",NA,"MG/L","TE","Hach",0.03,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"Mn_OES",NA,"MG/L","TE","ICP-OES",0.5,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"Fe_OES",NA,"MG/L","TE","ICP-OES",0.5,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"P",NA,"MG/L","TE","ICP-OES",0.5,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"Ca",NA,"MG/L","CATION","ICP-OES",0.5,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"Mg",NA,"MG/L","CATION","ICP-OES",0.5,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"Al_OES",NA,"MG/L","TE","ICP-OES",1,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"Na_OES",NA,"MG/L","CATION","ICP-OES",1,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"K_OES",NA,"MG/L","CATION","ICP-OES",4,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"DIC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-1",2022-11-15,10H 24M 0S,"TB","saline",1,"WI",40,2022,319,"CaMg",NA,"MG/L","CATION","ICP-OES",0.5,NA
"CoBRA2022-2",2022-11-15,10H 39M 0S,"TB","saline",1,"WI",30,2022,319,"pH",6.97,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2022-2",2022-11-15,10H 39M 0S,"TB","saline",1,"WI",30,2022,319,"SpC",NA,"uS/CM","CHEM","Probe",-10,NA
"CoBRA2022-2",2022-11-15,10H 39M 0S,"TB","saline",1,"WI",30,2022,319,"ORP",-378,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2022-2",2022-11-15,10H 39M 0S,"TB","saline",1,"WI",30,2022,319,"temp",16.7,"C","CHEM","Probe",-10,"NONE"
"CoBRA2022-2",2022-11-15,10H 39M 0S,"TB","saline",1,"WI",30,2022,319,"DOC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-2",2022-11-15,10H 39M 0S,"TB","saline",1,"WI",30,2022,319,"TC",NA,"MG/L","C","TOC-L",0.1,NA
"CoBRA2022-2",2022-11-15,10H 39M 0S,"TB","saline",1,"WI",30,2022,319,"Cl",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2022-2",2022-11-15,10H 39M 0S,"TB","saline",1,"WI",30,2022,319,"SO4",NA,"MG/L","ANION","IC",0.1,NA
