sampleID,Be_ppb,Na_ICPMS,Al_ICPMS,Si_ICPMS,K _ICPMS,Sc_ICPMS,Ti_ICPMS,V _ICPMS,Cr_ICPMS,Mn_ICPMS,Fe_ICPMS,Co_ICPMS,Ni_ICPMS,Cu_ICPMS,Zn_ICPMS,As_ICPMS,Se_ICPMS,Sr_ICPMS,Y _ICPMS,Mo_ICPMS,Ag_ICPMS,Cd_ICPMS,Sn_ICPMS,Sb_ICPMS,Ba_ICPMS,La_ICPMS,Pr_ICPMS,Ce_ICPMS,Nd_ICPMS,Sm_ICPMS,Eu_ICPMS,Tb_ICPMS,Gd_ICPMS,Dy_ICPMS,Ho_ICPMS,Er_ICPMS,Tm_ICPMS,Yb_ICPMS,Lu_ICPMS,Tl_ICPMS,Pb_ICPMS,Th_ICPMS,U _ICPMS
CoBRA2023-1,0.000,72,0.014,15,1,0.000,0.049,0.000,0.000,6.317,23.155,0.002,0.000,0.000,0.000,0.014,0.000,0.509,0.000,0.000,0.000,0.000,0.000,0.000,0.289,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-2,0.000,132,0.006,20,2,0.000,0.104,0.000,0.000,8.107,38.510,0.004,0.000,0.000,0.000,0.033,0.000,1.035,0.000,0.000,0.000,0.000,0.000,0.000,0.412,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-3,0.000,16,0.004,5,3,0.000,0.012,0.002,0.000,1.900,0.060,0.001,0.001,0.000,0.001,0.003,0.000,0.120,0.000,0.001,0.000,0.000,0.000,0.000,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-4,0.000,167,0.012,22,3,0.000,0.134,0.001,0.000,9.333,53.751,0.005,0.000,0.000,-0.001,0.070,0.001,1.499,0.000,0.000,0.000,0.000,0.000,0.000,0.647,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-5,0.000,18,0.006,6,2,0.000,0.012,0.001,0.000,0.428,0.021,0.000,0.001,0.001,0.001,0.001,0.000,0.108,0.000,0.001,0.000,0.000,0.000,0.000,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-6,0.000,26,0.003,17,1,0.000,0.023,0.001,0.000,3.893,11.119,0.001,0.001,0.000,0.001,0.005,0.000,0.201,0.000,0.000,0.000,0.000,0.000,0.000,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-8,0.000,112,0.039,28,6,0.000,0.133,0.001,0.000,20.323,74.239,0.003,0.000,0.000,0.001,0.060,0.000,1.438,0.000,0.000,0.000,0.000,0.000,0.000,0.767,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-9,0.000,21,0.012,10,2,0.000,0.015,0.001,0.000,1.248,0.044,0.001,0.002,0.000,0.002,0.002,0.000,0.127,0.000,0.001,0.000,0.000,0.000,0.000,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-10,0.000,19,0.003,15,1,0.000,0.015,0.000,0.000,2.874,12.438,0.000,0.001,0.000,0.002,0.005,0.000,0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-11,0.000,19,0.008,18,1,0.000,0.017,0.000,0.000,3.753,15.207,0.001,0.001,0.000,0.001,0.006,0.000,0.156,0.000,0.000,0.000,0.000,0.000,0.000,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
