sampleID,sample_date,sample_time,area,transect,plot,medium,depth,pH,SpC,ORP,temp,DOC,TC,Cl,SO4,NH4,SRP,NO3,Fe_II,Mn_OES,Fe_OES,P,Ca,Mg,Be,Na,Al,Si,K,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Y,Mo,Ag,Cd,Sn,Sb,Ba,La,Pr,Ce,Nd,Sm,Tb,Gd_160,Dy,Ho,Er,Tm,Yb,Lu,Tl,Pb,Th,U
CoBRA2023-1,3/8/23,10:05,WLD,young,4,WI,20,6.85,951,-165,31.9,20.94,99.971,141.35,6.83,,,,20.25,6.891388751,24.26975353,1.007765462,139.4044109,43.97831592,-0.005089467,71775.06701,13.73377047,14564.35799,1230.894154,0.329785206,0.117736573,6316.608653,23155.41932,1.912620556,0.255651498,0.165444172,-0.413197427,13.85219919,2.106140737,508.824946,0.077812772,0.22643162,-0.035820037,-0.004183865,0.00696838,0.109843262,289.0723302,0.032951018,0.007482531,0.067912956,0.038091017,0.006713239,-0.001356748,0.011646118,0.006397104,-0.000984734,0.003890645,-0.002095141,0.003165842,-0.001631061,0.002174568,-0.051090765,0.006774068,0.07794643
CoBRA2023-2,3/8/23,10:30,WLD,young,4,WI,30,7,1398,-150,29.2,32.32,201.761,329.67,0,,,,29.75,8.685086304,40.44213046,1.311691008,277.6618789,92.58891643,-0.005825403,132241.1118,6.10775232,19877.95589,1748.053538,0.332834541,0.139733933,8106.960297,38510.46742,4.137853167,0.34235039,0.222511758,-0.407297705,33.28198248,3.902836553,1034.607606,0.098696093,0.09228471,-0.041056412,0.000483737,0.00679587,0.112272651,411.8668667,0.020778087,0.001708859,0.040255874,0.053495193,0.002912028,-0.002167744,0.006843368,0.008696193,-0.001346577,0.002748977,-0.002367178,0.003743006,-0.000991064,0.001103988,-0.062293258,5.05E-05,0.037689315
CoBRA2023-3,3/8/23,10:55,WLD,young,4,WS,0,7.67,232,3,32.2,6.817,28.285,16.56,17.34,,,,0,2.072721737,0.197312831,0.000476295,37.06234732,9.650809769,0.004959049,16181.62727,3.820907405,4575.158006,3173.13426,1.612210856,0.025771816,1900.231054,59.82735263,0.590150176,1.342106766,0.360035556,0.561030806,2.880026144,0.325758369,119.8155632,0.076889219,1.060531905,-0.006142602,0.00616496,0.071700234,0.1415422,93.00324648,0.061074601,0.016188717,0.135208516,0.069579164,0.014803978,0.001630283,0.018251314,0.011923154,0.001653167,0.006234655,0.000352909,0.005541533,0.000262715,0.000929689,0.029036215,0.00194563,0.42500214
CoBRA2023-4,3/8/23,11:16,WLD,young,4,WI,50,6.97,2220,-128,26.7,36.69,231.215,508.74,0,,,,43.25,9.494435757,55.09426513,1.381000267,346.3457017,117.1053475,0.008665398,167189.5028,11.91408922,21184.19821,2654.093024,0.732717612,0.192882833,9333.36248,53751.43726,5.10069419,0.434765867,0.315296498,-0.66121402,69.88474179,6.348978364,1498.760521,0.104336248,0.179693634,-0.035348226,0.068496995,0.008398025,0.121069015,647.061602,0.044253066,0.007124492,0.094265389,0.040935191,0.011448703,-0.001613431,0.009764256,0.009016906,-0.000323995,0.005925425,-0.001895358,0.00372135,-0.001144951,0.000554438,-0.035174571,0.006061968,0.025342542
CoBRA2023-5,3/8/23,11:35,WLD,young,3,WI,10,8.04,246,-8,31.9,5.896,22.251,17.18,18.78,,,,0,0.574168366,0.11531203,0.05923146,34.55147182,11.15244291,-0.000477465,18463.57707,5.900178106,7308.062478,2308.995829,0.941301972,0.038009571,428.0487407,20.79142444,0.314448479,1.099959283,0.703936078,1.152575971,0.716609258,0.262870982,107.811024,0.064362185,0.887794611,-0.00669789,0.014492683,0.057165497,0.103977285,48.97316832,0.048691511,0.01289551,0.085994561,0.058125613,0.013197397,0.00112472,0.014464809,0.009849561,0.001398649,0.005269415,0.000102948,0.005464291,0.000236604,0.007377621,0.012795134,0.000556135,0.214062092
CoBRA2023-6,3/8/23,11:54,WLD,young,3,WI,20,7,429,-93,32,6.724,54.717,19.73,4.19,,,,7,4.21168715,12.14404327,0.335295817,62.05117774,20.59882561,0.006065257,25583.21896,2.552211928,20475.12748,714.6681897,0.841834865,0.050107345,3893.397056,11118.74632,0.861298971,0.773639161,0.201840896,0.952460059,5.089858272,0.353768227,200.509717,0.094085888,0.308199832,-0.007032301,0.001802376,0.000755634,0.125492343,141.7074114,0.038649618,0.009362634,0.083925481,0.047944269,0.011164331,0.001364129,0.015978734,0.011028558,0.002136169,0.00652347,0.000566737,0.006208626,0.000412371,0.000213006,-0.000348816,0.004996195,0.26550277
CoBRA2023-7,3/8/23,12:07,WLD,young,3,WI,30,6.88,1311,-110,30.2,15.11,167.32,153.1,0,,,,44.25,16.35511481,52.84259081,1.321193736,215.3306717,69.34914355,-0.013262272,74344.70751,2.801740936,29761.86106,1646.58602,0.262677948,0.0915408,16204.81605,53536.06074,1.357003722,0.085197388,0.140082572,-0.392881697,14.80692541,2.259976736,784.3694146,0.146567357,0.010192187,-0.038829675,-0.001718242,0.019039227,0.099267235,369.1220342,0.020751746,0.002490411,0.043440187,0.026316089,0.005383329,-0.001373086,0.010888702,0.010336301,-0.000610756,0.006131578,-0.001767989,0.005205482,-0.000367675,2.73E-06,-0.07486276,-0.001048915,0.032862621
CoBRA2023-8,3/8/23,12:20,WLD,young,3,WI,50,6.98,2130,-143,31.8,26.38,253.185,365.81,0,,,,64.5,21.14458819,75.00654835,1.379423219,336.0851615,104.621525,0.018316554,112016.8103,38.75210069,35161.6623,5590.662625,0.808518064,0.225168031,20323.32302,74239.34144,2.72042864,0.274100375,0.377393479,0.729372283,60.25062576,4.46794102,1438.206515,0.320800313,0.180974956,-0.034227447,0.008554786,0.078406389,0.124453589,767.4943193,0.184130921,0.046737797,0.401890366,0.208836886,0.041370474,0.004695104,0.048957594,0.035705413,0.004935673,0.019884464,-3.82E-05,0.018010442,0.000838294,0.001557924,0.0643918,0.03126641,0.04909115
CoBRA2023-9,3/8/23,12:36,WLD,young,2,WI,10,7.57,294,4,29.7,5.475,35.183,14.28,11.97,,,,0,1.277163228,0.222253828,0.220939585,41.00862336,15.38764019,0.004368753,21134.68052,11.7697666,12194.65946,2491.579191,1.179457662,0.037058881,1248.37283,43.63241277,1.119586443,1.630603495,0.488354605,1.889432628,1.926615698,0.259892258,127.3057222,0.074706902,0.791933246,-0.007828422,0.016743442,0.002437187,0.12785751,86.13566128,0.059813142,0.015689556,0.137649846,0.068178859,0.015496087,0.00167499,0.018769883,0.011563017,0.00190147,0.005950271,0.000255476,0.006366168,0.000280181,0.004134303,0.027413772,0.001286169,0.286474796
CoBRA2023-10,3/8/23,12:51,WLD,young,2,WI,20,7.12,338,-114,30.2,6.824,39.836,16.28,7.22,,,,10.75,3.15204506,13.3955432,1.005420107,43.10829474,13.07300618,0.006494498,18506.47508,2.747973602,17783.25935,1276.045733,0.389322077,0.072852141,2874.49149,12438.11008,0.380796429,0.552105951,0.320114653,1.893655159,5.146050727,0.257528887,137.3552043,0.074793015,0.332016729,-0.005593779,0.001473137,0.001089593,0.075291962,91.33111812,0.030018294,0.008070895,0.070887063,0.038258302,0.009932653,0.001113974,0.013004838,0.010111975,0.001431607,0.006279747,0.000223245,0.005430291,0.000423056,0.000160738,-0.001940474,0.005878434,0.050227775
