date,time,area,transect,plot,depth,distance
3/9/23,14:47,WLD,old,1,-8,0
3/9/23,14:47,WLD,old,1,-9,0
3/9/23,14:47,WLD,old,1,-8,0
3/9/23,14:47,WLD,old,1,-7.5,0
3/9/23,14:47,WLD,old,1,-8.5,0
3/9/23,14:47,WLD,old,2,-7,13.1
3/9/23,14:47,WLD,old,2,-6.8,13.1
3/9/23,14:47,WLD,old,2,-12,13.1
3/9/23,14:47,WLD,old,2,-7,13.1
3/9/23,14:47,WLD,old,2,-6.5,13.1
3/9/23,14:47,WLD,old,3,-3.5,19.9
3/9/23,14:47,WLD,old,3,-2,19.9
3/9/23,14:47,WLD,old,3,-4.25,19.9
3/9/23,14:47,WLD,old,3,-3,19.9
3/9/23,14:47,WLD,old,3,-2,19.9
3/9/23,14:47,WLD,old,4,14,24.3
3/9/23,14:47,WLD,old,4,11,24.3
3/9/23,14:47,WLD,old,4,13.5,24.3
3/9/23,14:47,WLD,old,4,15,24.3
3/9/23,14:47,WLD,old,4,14.5,24.3
3/9/23,14:47,WLD,old,5,21,27.4
3/9/23,14:47,WLD,old,5,22.5,27.4
3/9/23,14:47,WLD,old,5,20,27.4
3/9/23,14:47,WLD,old,5,20,27.4
3/9/23,14:47,WLD,old,5,21.8,27.4
3/9/23,14:47,WLD,old,6,17.5,30
3/9/23,14:47,WLD,old,6,15,30
3/9/23,14:47,WLD,old,6,18,30
3/9/23,14:47,WLD,old,6,21,30
3/9/23,14:47,WLD,old,6,21,30
3/9/23,10:50,WLD,young,1,-15,0
3/9/23,10:50,WLD,young,1,-12.5,0
3/9/23,10:50,WLD,young,1,-10,0
3/9/23,10:50,WLD,young,1,-8.5,0
3/9/23,10:50,WLD,young,1,-13.5,0
3/9/23,10:50,WLD,young,2,0.5,3.5
3/9/23,10:50,WLD,young,2,-2.5,3.5
3/9/23,10:50,WLD,young,2,-4,3.5
3/9/23,10:50,WLD,young,2,-3.5,3.5
3/9/23,10:50,WLD,young,2,-10,3.5
3/9/23,10:50,WLD,young,3,2.8,13.2
3/9/23,10:50,WLD,young,3,3.5,13.2
3/9/23,10:50,WLD,young,3,2,13.2
3/9/23,10:50,WLD,young,3,2.8,13.2
3/9/23,10:50,WLD,young,3,3.2,13.2
3/9/23,10:50,WLD,young,4,8.5,19.9
3/9/23,10:50,WLD,young,4,7.5,19.9
3/9/23,10:50,WLD,young,4,7.8,19.9
3/9/23,10:50,WLD,young,4,10.5,19.9
3/9/23,10:50,WLD,young,4,6.9,19.9
