sensorID,unit,parameter,region,transect,plot,tidal,DL
21446321,UNITS,pH,WLD,Young,1,supratidal,
21446324,UNITS,pH,WLD,Young,3,intertidal,
21446320,UNITS,pH,WLD,Young,4,subtidal,
21446319,UNITS,pH,WLD,Old,1,supratidal,
21414145,UNITS,pH,WLD,Old,4,intertidal,
21446317,UNITS,pH,WLD,Old,5,subtidal,
21445985,uS/CM,SpC,WLD,Old,1,supratidal,
21445986,uS/CM,SpC,WLD,Old,4,intertidal,
21445979,uS/CM,SpC,WLD,Old,5,subtidal,
21445984,uS/CM,SpC,WLD,Young,1,supratidal,
21445995,uS/CM,SpC,WLD,Young,3,intertidal,
21445994,uS/CM,SpC,WLD,Young,4,subtidal,
21411067,kPa,WL,WLD,Old,1,supratidal,
21411068,kPa,WL,WLD,Old,3,intertidal,
21411065,kPa,WL,WLD,Old,ref,ref,
21411062,kPa,WL,WLD,Young,1,supratidal,
21411059,kPa,WL,WLD,Young,3,intertidal,
21411066,kPa,WL,WLD,Young,ref,ref,
220915_11,MV,REDOX,WLD,Old,2,supratidal,42391
220915_19,MV,REDOX,WLD,Old,3,intertidal,42391
220915_06,MV,REDOX,WLD,Old,3,intertidal,42391
220916_01,MV,REDOX,WLD,Old,ref,ref,42391
220915_26,MV,REDOX,WLD,Old,5,subtidal,42386
220915_21,MV,REDOX,WLD,Old,4,subtidal,42386
220915_09,MV,REDOX,WLD,Old,4,subtidal,42386
220916_16,MV,REDOX,WLD,Old,ref,ref,42386
220915_04,MV,REDOX,WLD,Young,1,supratidal,42389
220915_07,MV,REDOX,WLD,Young,2,intertidal,42389
220915_08,MV,REDOX,WLD,Young,2,intertidal,42389
220916_05,MV,REDOX,WLD,Young,ref,ref,42389
220915_24,MV,REDOX,WLD,Young,4,subtidal,42385
220915_15,MV,REDOX,WLD,Young,3,subtidal,42385
220915_12,MV,REDOX,WLD,Young,3,subtidal,42385
220916_06,MV,REDOX,WLD,Young,ref,ref,42385
