#,"Date Time, GMT-05:00","Full Range, μS/cm","Temp, °C","SpC, μS/cm"
1,5/8/23 13:11,0.2,22.66,0.2
2,5/8/23 13:26,1236.5,20.81,1354.9
3,5/8/23 13:41,1232.8,20.72,1353.6
4,5/8/23 13:56,1230.7,20.69,1352.2
5,5/8/23 14:11,1229.4,20.66,1351.7
6,5/8/23 14:26,1229,20.65,1351.6
7,5/8/23 14:41,1229.1,20.64,1352
8,5/8/23 14:56,1229.1,20.62,1352.6
9,5/8/23 15:11,1228.2,20.62,1351.6
10,5/8/23 15:26,1228.2,20.61,1351.9
11,5/8/23 15:41,1228.7,20.61,1352.5
12,5/8/23 15:56,1229.1,20.61,1352.9
13,5/8/23 16:11,1229.1,20.61,1352.9
14,5/8/23 16:26,1228.2,20.61,1351.9
15,5/8/23 16:41,1228.2,20.61,1351.9
16,5/8/23 16:56,1228.2,20.61,1351.9
17,5/8/23 17:11,1228.2,20.61,1351.9
18,5/8/23 17:26,1227.8,20.61,1351.5
19,5/8/23 17:41,1227.8,20.61,1351.5
20,5/8/23 17:56,1227.8,20.6,1351.8
21,5/8/23 18:11,1227.4,20.6,1351.3
22,5/8/23 18:26,1227.8,20.6,1351.8
23,5/8/23 18:41,1227.4,20.6,1351.3
24,5/8/23 18:56,1227.4,20.6,1351.3
25,5/8/23 19:11,1227.4,20.6,1351.3
26,5/8/23 19:26,1227.4,20.6,1351.3
27,5/8/23 19:41,1227.4,20.6,1351.3
28,5/8/23 19:56,1227.8,20.6,1351.8
29,5/8/23 20:11,1227.4,20.6,1351.3
30,5/8/23 20:26,1227.4,20.6,1351.3
31,5/8/23 20:41,1227.4,20.6,1351.3
32,5/8/23 20:56,1227.4,20.6,1351.3
33,5/8/23 21:11,1227.4,20.6,1351.3
34,5/8/23 21:26,1227.4,20.6,1351.3
35,5/8/23 21:41,1227.4,20.6,1351.3
36,5/8/23 21:56,1227.8,20.61,1351.5
37,5/8/23 22:11,1227,20.61,1350.6
38,5/8/23 22:26,1214.6,20.61,1336.9
39,5/8/23 22:41,1207.8,20.61,1329.5
40,5/8/23 22:56,1201.4,20.61,1322.4
41,5/8/23 23:11,1198.9,20.61,1319.7
42,5/8/23 23:26,1198.9,20.61,1319.7
43,5/8/23 23:41,1198.5,20.61,1319.2
44,5/8/23 23:56,1194.6,20.62,1314.6
45,5/9/23 0:11,1192.5,20.62,1312.3
46,5/9/23 0:26,1190.8,20.62,1310.4
47,5/9/23 0:41,1187.8,20.62,1307.1
48,5/9/23 0:56,1184.8,20.62,1303.8
49,5/9/23 1:11,1179.3,20.62,1297.8
50,5/9/23 1:26,1174.2,20.62,1292.2
51,5/9/23 1:41,1171.7,20.62,1289.4
52,5/9/23 1:56,1170.8,20.64,1287.9
53,5/9/23 2:11,1170.8,20.64,1287.9
54,5/9/23 2:26,1169.6,20.62,1287.1
55,5/9/23 2:41,1169.1,20.62,1286.6
56,5/9/23 2:56,1169.1,20.64,1286
57,5/9/23 3:11,1164,20.64,1280.4
58,5/9/23 3:26,1156.8,20.64,1272.5
59,5/9/23 3:41,1149.2,20.64,1264.1
60,5/9/23 3:56,1142.8,20.64,1257.1
61,5/9/23 4:11,1137.3,20.64,1251
62,5/9/23 4:26,1133.1,20.64,1246.4
63,5/9/23 4:41,1129.7,20.64,1242.6
64,5/9/23 4:56,1126.7,20.64,1239.3
65,5/9/23 5:11,1125.9,20.64,1238.5
66,5/9/23 5:26,1124.6,20.64,1237
67,5/9/23 5:41,1124.2,20.64,1236.6
68,5/9/23 5:56,1123.3,20.64,1235.6
69,5/9/23 6:11,1123.3,20.62,1236.2
70,5/9/23 6:26,1127.6,20.6,1241.5
71,5/9/23 6:41,1144.2,20.56,1260.9
72,5/9/23 6:56,1165.9,20.52,1285.9
73,5/9/23 7:11,1181.2,20.5,1303.4
74,5/9/23 7:26,1202,20.49,1326.7
75,5/9/23 7:41,1207.6,20.49,1332.8
76,5/9/23 7:56,1214.4,20.47,1340.9
77,5/9/23 8:11,1218.6,20.47,1345.6
78,5/9/23 8:26,1219.5,20.47,1346.6
79,5/9/23 8:41,1219,20.49,1345.4
80,5/9/23 8:56,1219.9,20.5,1346.1
81,5/9/23 9:11,1220.3,20.51,1346.2
82,5/9/23 9:26,1221.1,20.54,1346.2
83,5/9/23 9:41,1221.1,20.55,1345.9
84,5/9/23 9:56,1221.9,20.59,1345.6
85,5/9/23 10:11,1223.6,20.61,1346.8
86,5/9/23 10:26,1224,20.62,1347
87,5/9/23 10:41,1225.2,20.64,1347.7
88,5/9/23 10:56,1225.6,20.65,1347.8
89,5/9/23 11:11,1226.9,20.67,1348.7
90,5/9/23 11:26,1227.3,20.69,1348.5
91,5/9/23 11:41,1228.1,20.7,1349.1
92,5/9/23 11:56,1228.1,20.7,1349.1
