"sampleNo","DateTime","raw_EC","temp","adjusted_SpC","transect","plot","tidal"
1,2023-03-09 13:48:00,1130.9,31.5,877.9,"Old","4","subtidal"
2,2023-03-09 14:03:00,276.6,29.08,225.1,"Old","4","subtidal"
3,2023-03-09 14:18:00,1578.8,20.71,1533.2,"Old","4","subtidal"
4,2023-03-09 14:33:00,1628.4,20.3,1596.1,"Old","4","subtidal"
5,2023-03-09 14:48:00,1632.8,20.29,1600.8,"Old","4","subtidal"
6,2023-03-09 15:03:00,1626.6,20.3,1594.3,"Old","4","subtidal"
7,2023-03-09 15:18:00,1631.1,20.26,1600.2,"Old","4","subtidal"
8,2023-03-09 15:33:00,1629.7,20.29,1597.7,"Old","4","subtidal"
9,2023-03-09 15:48:00,1627.5,20.29,1595.6,"Old","4","subtidal"
10,2023-03-09 16:03:00,1625.3,20.3,1593,"Old","4","subtidal"
11,2023-03-09 16:18:00,1621.3,20.3,1589.1,"Old","4","subtidal"
12,2023-03-09 16:33:00,1625.3,20.29,1593.4,"Old","4","subtidal"
13,2023-03-09 16:48:00,1624,20.29,1592.1,"Old","4","subtidal"
14,2023-03-09 17:03:00,1623.6,20.27,1592.5,"Old","4","subtidal"
15,2023-03-09 17:18:00,1628,20.26,1597.1,"Old","4","subtidal"
16,2023-03-09 17:33:00,1629.7,20.26,1598.8,"Old","4","subtidal"
17,2023-03-09 17:48:00,1629.8,20.25,1599.3,"Old","4","subtidal"
18,2023-03-09 18:03:00,1628.9,20.25,1598.4,"Old","4","subtidal"
19,2023-03-09 18:18:00,1632.4,20.25,1601.8,"Old","4","subtidal"
20,2023-03-09 18:33:00,1635.9,20.25,1605.2,"Old","4","subtidal"
21,2023-03-09 18:48:00,1639.9,20.25,1609.2,"Old","4","subtidal"
22,2023-03-09 19:03:00,1644.3,20.26,1613.1,"Old","4","subtidal"
23,2023-03-09 19:18:00,1646,20.26,1614.8,"Old","4","subtidal"
24,2023-03-09 19:33:00,1647.8,20.27,1616.2,"Old","4","subtidal"
25,2023-03-09 19:48:00,1647.3,20.27,1615.7,"Old","4","subtidal"
26,2023-03-09 20:03:00,1648.2,20.29,1615.8,"Old","4","subtidal"
27,2023-03-09 20:18:00,1647.3,20.3,1614.6,"Old","4","subtidal"
28,2023-03-09 20:33:00,1645.1,20.3,1612.4,"Old","4","subtidal"
29,2023-03-09 20:48:00,1642,20.3,1609.4,"Old","4","subtidal"
30,2023-03-09 21:03:00,1640.2,20.3,1607.6,"Old","4","subtidal"
31,2023-03-09 21:18:00,1641.1,20.31,1608.2,"Old","4","subtidal"
32,2023-03-09 21:33:00,1640.2,20.31,1607.3,"Old","4","subtidal"
33,2023-03-09 21:48:00,1638,20.31,1605.1,"Old","4","subtidal"
34,2023-03-09 22:03:00,1637.1,20.31,1604.2,"Old","4","subtidal"
35,2023-03-09 22:18:00,1637.6,20.31,1604.7,"Old","4","subtidal"
36,2023-03-09 22:33:00,1636.2,20.32,1603,"Old","4","subtidal"
37,2023-03-09 22:48:00,1634.9,20.32,1601.7,"Old","4","subtidal"
38,2023-03-09 23:03:00,1634.9,20.32,1601.7,"Old","4","subtidal"
39,2023-03-09 23:18:00,1635.3,20.32,1602.1,"Old","4","subtidal"
40,2023-03-09 23:33:00,1634,20.32,1600.8,"Old","4","subtidal"
41,2023-03-09 23:48:00,1634,20.32,1600.8,"Old","4","subtidal"
42,2023-03-10 00:03:00,1633.6,20.32,1600.4,"Old","4","subtidal"
43,2023-03-10 00:18:00,1633.6,20.32,1600.4,"Old","4","subtidal"
44,2023-03-10 00:33:00,1633.1,20.32,1600,"Old","4","subtidal"
45,2023-03-10 00:48:00,1633.1,20.34,1599.2,"Old","4","subtidal"
46,2023-03-10 01:03:00,1633.6,20.32,1600.4,"Old","4","subtidal"
47,2023-03-10 01:18:00,1633.1,20.34,1599.2,"Old","4","subtidal"
48,2023-03-10 01:33:00,1633.1,20.34,1599.2,"Old","4","subtidal"
49,2023-03-10 01:48:00,1632.7,20.34,1598.8,"Old","4","subtidal"
50,2023-03-10 02:03:00,1632.2,20.34,1598.4,"Old","4","subtidal"
51,2023-03-10 02:18:00,1632.2,20.34,1598.4,"Old","4","subtidal"
52,2023-03-10 02:33:00,1632.2,20.35,1598,"Old","4","subtidal"
53,2023-03-10 02:48:00,1632.2,20.35,1598,"Old","4","subtidal"
54,2023-03-10 03:03:00,1631.4,20.34,1597.6,"Old","4","subtidal"
55,2023-03-10 03:18:00,1632.2,20.35,1598,"Old","4","subtidal"
56,2023-03-10 03:33:00,1631.3,20.35,1597.1,"Old","4","subtidal"
57,2023-03-10 03:48:00,1631.4,20.34,1597.6,"Old","4","subtidal"
58,2023-03-10 04:03:00,1631.3,20.35,1597.1,"Old","4","subtidal"
59,2023-03-10 04:18:00,1631.8,20.35,1597.6,"Old","4","subtidal"
60,2023-03-10 04:33:00,1631.8,20.35,1597.6,"Old","4","subtidal"
61,2023-03-10 04:48:00,1632.2,20.35,1598,"Old","4","subtidal"
62,2023-03-10 05:03:00,1632.7,20.35,1598.5,"Old","4","subtidal"
63,2023-03-10 05:18:00,1634.5,20.31,1601.7,"Old","4","subtidal"
64,2023-03-10 05:33:00,1635.4,20.3,1602.9,"Old","4","subtidal"
65,2023-03-10 05:48:00,1637.6,20.27,1606.2,"Old","4","subtidal"
66,2023-03-10 06:03:00,1645.1,20.26,1613.9,"Old","4","subtidal"
67,2023-03-10 06:18:00,1656.2,20.26,1624.8,"Old","4","subtidal"
68,2023-03-10 06:33:00,1662.8,20.26,1631.3,"Old","4","subtidal"
69,2023-03-10 06:48:00,1666.3,20.26,1634.7,"Old","4","subtidal"
70,2023-03-10 07:03:00,1667.1,20.27,1635.1,"Old","4","subtidal"
71,2023-03-10 07:18:00,1667.6,20.29,1634.9,"Old","4","subtidal"
72,2023-03-10 07:33:00,1668.4,20.31,1634.9,"Old","4","subtidal"
73,2023-03-10 07:48:00,1669.7,20.32,1635.8,"Old","4","subtidal"
74,2023-03-10 08:03:00,1670.1,20.35,1635.1,"Old","4","subtidal"
75,2023-03-10 08:18:00,1670.1,20.36,1634.7,"Old","4","subtidal"
76,2023-03-10 08:33:00,1670.9,20.36,1635.5,"Old","4","subtidal"
77,2023-03-10 08:48:00,1670,20.38,1633.9,"Old","4","subtidal"
78,2023-03-10 09:03:00,1670,20.38,1633.9,"Old","4","subtidal"
79,2023-03-10 09:18:00,1670,20.39,1633.5,"Old","4","subtidal"
80,2023-03-10 09:33:00,1670.5,20.39,1634,"Old","4","subtidal"
81,2023-03-10 09:48:00,1670.4,20.4,1633.5,"Old","4","subtidal"
82,2023-03-10 10:03:00,1670.4,20.4,1633.5,"Old","4","subtidal"
83,2023-03-10 10:18:00,1670.4,20.4,1633.5,"Old","4","subtidal"
84,2023-03-10 10:33:00,1670.4,20.4,1633.5,"Old","4","subtidal"
85,2023-03-10 10:48:00,1670.4,20.41,1633.2,"Old","4","subtidal"
86,2023-03-10 11:03:00,1670.9,20.41,1633.7,"Old","4","subtidal"
87,2023-03-10 11:18:00,1670.9,20.41,1633.7,"Old","4","subtidal"
88,2023-03-10 11:33:00,1670.9,20.41,1633.7,"Old","4","subtidal"
89,2023-03-10 11:48:00,1670.4,20.41,1633.2,"Old","4","subtidal"
90,2023-03-10 12:03:00,1670.9,20.41,1633.7,"Old","4","subtidal"
91,2023-03-10 12:18:00,1670.8,20.43,1632.8,"Old","4","subtidal"
