"sampleNo","DateTime","raw_EC","temp","adjusted_SpC","transect","plot","tidal"
1,2023-03-09 11:17:00,1052.1,27.31,953.8,"Young","1","supratidal"
2,2023-03-09 11:32:00,1350.1,18.13,1495.5,"Young","1","supratidal"
3,2023-03-09 11:47:00,1346.9,18.02,1495.9,"Young","1","supratidal"
4,2023-03-09 12:02:00,1344.2,17.9,1497.1,"Young","1","supratidal"
5,2023-03-09 12:17:00,1342.7,17.82,1498.2,"Young","1","supratidal"
6,2023-03-09 12:32:00,1339,17.74,1496.9,"Young","1","supratidal"
7,2023-03-09 12:47:00,1338.3,17.69,1497.9,"Young","1","supratidal"
8,2023-03-09 13:02:00,1337.1,17.65,1497.9,"Young","1","supratidal"
9,2023-03-09 13:17:00,1336.3,17.64,1497.4,"Young","1","supratidal"
10,2023-03-09 13:32:00,1335.9,17.61,1498,"Young","1","supratidal"
11,2023-03-09 13:47:00,1335.5,17.6,1497.9,"Young","1","supratidal"
12,2023-03-09 14:02:00,1335.5,17.6,1497.9,"Young","1","supratidal"
13,2023-03-09 14:17:00,1335.1,17.59,1497.8,"Young","1","supratidal"
14,2023-03-09 14:32:00,1335.5,17.59,1498.3,"Young","1","supratidal"
15,2023-03-09 14:47:00,1335.1,17.57,1498.5,"Young","1","supratidal"
16,2023-03-09 15:02:00,1334.7,17.57,1498.1,"Young","1","supratidal"
17,2023-03-09 15:17:00,1335.1,17.57,1498.5,"Young","1","supratidal"
18,2023-03-09 15:32:00,1334.7,17.57,1498.1,"Young","1","supratidal"
19,2023-03-09 15:47:00,1334.7,17.57,1498.1,"Young","1","supratidal"
20,2023-03-09 16:02:00,1334.7,17.57,1498.1,"Young","1","supratidal"
21,2023-03-09 16:17:00,1334.3,17.56,1498,"Young","1","supratidal"
22,2023-03-09 16:32:00,1334.3,17.56,1498,"Young","1","supratidal"
23,2023-03-09 16:47:00,1334.3,17.56,1498,"Young","1","supratidal"
24,2023-03-09 17:02:00,1334.3,17.56,1498,"Young","1","supratidal"
25,2023-03-09 17:17:00,1333.9,17.56,1497.5,"Young","1","supratidal"
26,2023-03-09 17:32:00,1334.3,17.56,1498,"Young","1","supratidal"
27,2023-03-09 17:47:00,1334.3,17.56,1498,"Young","1","supratidal"
28,2023-03-09 18:02:00,1334.3,17.56,1498,"Young","1","supratidal"
29,2023-03-09 18:17:00,1333.9,17.56,1497.5,"Young","1","supratidal"
30,2023-03-09 18:32:00,1334.3,17.56,1498,"Young","1","supratidal"
31,2023-03-09 18:47:00,1334.3,17.56,1498,"Young","1","supratidal"
32,2023-03-09 19:02:00,1333.9,17.56,1497.5,"Young","1","supratidal"
33,2023-03-09 19:17:00,1333.9,17.56,1497.5,"Young","1","supratidal"
34,2023-03-09 19:32:00,1334.3,17.56,1498,"Young","1","supratidal"
35,2023-03-09 19:47:00,1334.7,17.56,1498.4,"Young","1","supratidal"
36,2023-03-09 20:02:00,1334.3,17.57,1497.6,"Young","1","supratidal"
37,2023-03-09 20:17:00,1334.7,17.57,1498.1,"Young","1","supratidal"
38,2023-03-09 20:32:00,1335.1,17.57,1498.5,"Young","1","supratidal"
39,2023-03-09 20:47:00,1334.3,17.57,1497.6,"Young","1","supratidal"
40,2023-03-09 21:02:00,1334.7,17.57,1498.1,"Young","1","supratidal"
