"#","Date Time, GMT-05:00","Abs Pres, kPa","Temp, °C","Pressure Barom., kPa","Water Level, meters"
1,03-01-23 00:59:00,,,101.210,
2,03-01-23 01:59:00,,,101.250,
3,03-01-23 02:59:00,,,101.290,
4,03-01-23 03:59:00,,,101.280,
5,03-01-23 04:59:00,,,101.250,
6,03-01-23 05:59:00,,,101.200,
7,03-01-23 06:59:00,,,101.160,
8,03-01-23 07:59:00,,,101.140,
9,03-01-23 08:59:00,,,101.150,
10,03-01-23 09:59:00,,,101.140,
11,03-01-23 10:59:00,,,101.170,
12,03-01-23 11:59:00,,,101.180,
13,03-01-23 12:59:00,,,101.240,
14,03-01-23 13:59:00,,,101.350,
15,03-01-23 14:59:00,,,101.390,
16,03-01-23 15:59:00,,,101.450,
17,03-01-23 16:59:00,,,101.430,
18,03-01-23 17:59:00,,,101.340,
19,03-01-23 18:59:00,,,101.250,
20,03-01-23 19:59:00,,,101.100,
21,03-01-23 20:59:00,,,101.090,
22,03-01-23 21:59:00,,,101.030,
23,03-01-23 22:59:00,,,101.040,
24,03-01-23 23:59:00,,,101.100,
25,03-02-23 00:59:00,,,101.120,
26,03-02-23 01:59:00,,,101.130,
27,03-02-23 02:59:00,,,101.130,
28,03-02-23 04:59:00,,,101.040,
29,03-02-23 05:59:00,,,100.960,
30,03-02-23 06:59:00,,,100.950,
31,03-02-23 07:59:00,,,100.960,
32,03-02-23 08:59:00,,,100.950,
33,03-02-23 09:59:00,,,100.900,
34,03-02-23 10:59:00,,,100.890,
35,03-02-23 11:59:00,,,100.910,
36,03-02-23 12:59:00,,,100.950,
37,03-02-23 13:59:00,,,100.900,
38,03-02-23 14:59:00,,,100.940,
39,03-02-23 15:59:00,,,100.860,
40,03-02-23 16:59:00,,,100.890,
41,03-02-23 17:59:00,,,100.790,
42,03-02-23 18:59:00,,,100.640,
43,03-02-23 19:59:00,,,100.550,
44,03-02-23 20:59:00,,,100.470,
45,03-02-23 22:59:00,,,100.320,
46,03-02-23 23:59:00,,,100.260,
47,03-03-23 00:59:00,,,100.240,
48,03-03-23 01:59:00,,,100.220,
49,03-03-23 02:59:00,,,100.120,
50,03-03-23 03:59:00,,,100.070,
51,03-03-23 04:59:00,,,100.050,
52,03-03-23 05:59:00,,,99.990,
53,03-03-23 06:59:00,,,99.950,
54,03-03-23 07:59:00,,,99.840,
55,03-03-23 08:59:00,,,99.750,
56,03-03-23 09:59:00,,,100.010,
57,03-03-23 10:59:00,,,99.880,
58,03-03-23 11:59:00,,,99.950,
59,03-03-23 12:59:00,,,100.000,
60,03-03-23 13:59:00,,,100.210,
61,03-03-23 14:59:00,,,100.410,
62,03-03-23 15:59:00,,,100.420,
63,03-03-23 16:59:00,,,100.490,
64,03-03-23 17:59:00,,,100.500,
65,03-03-23 18:59:00,,,100.480,
66,03-03-23 19:59:00,,,100.480,
67,03-03-23 20:59:00,,,100.490,
68,03-03-23 21:59:00,,,100.480,
69,03-03-23 22:59:00,,,100.520,
70,03-03-23 23:59:00,,,100.590,
71,03-04-23 00:59:00,,,100.660,
72,03-04-23 01:59:00,,,100.760,
73,03-04-23 02:59:00,,,100.860,
74,03-04-23 03:59:00,,,100.900,
75,03-04-23 04:59:00,,,100.920,
76,03-04-23 05:59:00,,,100.940,
77,03-04-23 06:59:00,,,100.970,
78,03-04-23 07:59:00,,,101.020,
79,03-04-23 08:59:00,,,101.020,
80,03-04-23 09:59:00,,,101.070,
81,03-04-23 10:59:00,,,101.150,
82,03-04-23 11:59:00,,,101.250,
83,03-04-23 12:59:00,,,101.370,
84,03-04-23 13:59:00,,,101.460,
85,03-04-23 14:59:00,,,101.510,
86,03-04-23 15:59:00,,,101.520,
87,03-04-23 16:59:00,,,101.550,
88,03-04-23 17:59:00,,,101.490,
89,03-04-23 18:59:00,,,101.490,
90,03-04-23 19:59:00,,,101.470,
91,03-04-23 20:59:00,,,101.480,
92,03-04-23 21:59:00,,,101.470,
93,03-04-23 22:59:00,,,101.500,
94,03-04-23 23:59:00,,,101.550,
95,03-05-23 00:59:00,,,101.600,
96,03-05-23 01:59:00,,,101.640,
97,03-05-23 02:59:00,,,101.690,
98,03-05-23 03:59:00,,,101.730,
99,03-05-23 04:59:00,,,101.710,
100,03-05-23 05:59:00,,,101.720,
101,03-05-23 06:59:00,,,101.740,
102,03-05-23 07:59:00,,,101.730,
103,03-05-23 08:59:00,,,101.700,
104,03-05-23 09:59:00,,,101.710,
105,03-05-23 10:59:00,,,101.740,
106,03-05-23 11:59:00,,,101.780,
107,03-05-23 12:59:00,,,101.830,
108,03-05-23 13:59:00,,,101.890,
109,03-05-23 14:59:00,,,101.940,
110,03-05-23 15:59:00,,,101.940,
111,03-05-23 16:59:00,,,101.930,
112,03-05-23 17:59:00,,,101.880,
113,03-05-23 18:59:00,,,101.820,
114,03-05-23 19:59:00,,,101.780,
115,03-05-23 20:59:00,,,101.740,
116,03-05-23 21:59:00,,,101.710,
117,03-05-23 22:59:00,,,101.670,
118,03-05-23 23:59:00,,,101.710,
119,03-06-23 00:59:00,,,101.690,
120,03-06-23 01:59:00,,,101.730,
121,03-06-23 02:59:00,,,101.800,
122,03-06-23 03:59:00,,,101.790,
123,03-06-23 04:59:00,,,101.720,
124,03-06-23 05:59:00,,,101.710,
125,03-06-23 06:59:00,,,101.680,
126,03-06-23 07:59:00,,,101.700,
127,03-06-23 08:59:00,,,101.660,
128,03-06-23 09:59:00,,,101.630,
129,03-06-23 10:59:00,,,101.660,
130,03-06-23 11:59:00,,,101.690,
131,03-06-23 12:59:00,,,101.750,
132,03-06-23 13:59:00,,,101.790,
133,03-06-23 14:59:00,,,101.830,
134,03-06-23 15:59:00,,,101.870,
135,03-06-23 16:59:00,,,101.890,
136,03-06-23 17:59:00,,,101.830,
137,03-06-23 18:59:00,,,101.760,
138,03-06-23 19:59:00,,,101.690,
139,03-06-23 20:59:00,,,101.630,
140,03-06-23 21:59:00,,,101.600,
141,03-06-23 22:59:00,,,101.600,
142,03-06-23 23:59:00,,,101.640,
143,03-07-23 00:59:00,,,101.660,
144,03-07-23 01:59:00,,,101.660,
145,03-07-23 02:59:00,,,101.670,
146,03-07-23 03:59:00,,,101.680,
147,03-07-23 04:59:00,,,101.630,
148,03-07-23 05:59:00,,,101.620,
149,03-07-23 06:59:00,,,101.610,
150,03-07-23 07:59:00,,,101.590,
151,03-07-23 08:59:00,,,101.580,
152,03-07-23 09:59:00,,,101.610,
153,03-07-23 10:59:00,,,101.650,
154,03-07-23 11:59:00,,,101.700,
155,03-07-23 12:59:00,,,101.730,
156,03-07-23 13:59:00,,,101.790,
157,03-07-23 14:59:00,,,101.830,
158,03-07-23 15:59:00,,,101.860,
159,03-07-23 16:59:00,,,101.860,
160,03-07-23 17:59:00,,,101.810,
161,03-07-23 18:59:00,,,101.750,
162,03-07-23 19:59:00,,,101.700,
163,03-07-23 20:59:00,,,101.680,
164,03-07-23 21:59:00,,,101.640,
165,03-07-23 22:59:00,,,101.650,
166,03-07-23 23:59:00,,,101.690,
167,03-08-23 00:59:00,,,101.700,
168,03-08-23 01:59:00,,,101.730,
169,03-08-23 02:59:00,,,101.750,
170,03-08-23 03:59:00,,,101.770,
171,03-08-23 04:59:00,,,101.780,
172,03-08-23 05:59:00,,,101.750,
173,03-08-23 06:59:00,,,101.720,
174,03-08-23 07:59:00,,,101.680,
175,03-08-23 08:59:00,,,101.650,
176,03-08-23 09:59:00,,,101.660,
177,03-08-23 10:59:00,,,101.720,
178,03-08-23 11:59:00,,,101.760,
179,03-08-23 12:59:00,,,101.850,
180,03-08-23 13:59:00,,,101.910,
181,03-08-23 14:59:00,,,101.960,
182,03-08-23 15:59:00,,,101.980,
183,03-08-23 16:59:00,,,102.010,
184,03-08-23 17:59:00,,,101.980,
185,03-08-23 18:59:00,,,101.910,
186,03-08-23 19:59:00,,,101.800,
187,03-08-23 20:59:00,,,101.750,
188,03-08-23 21:59:00,,,101.740,
189,03-08-23 22:59:00,,,101.750,
190,03-08-23 23:59:00,,,101.770,
191,03-09-23 00:59:00,,,101.780,
192,03-09-23 01:59:00,,,101.790,
193,03-09-23 02:59:00,,,101.790,
194,03-09-23 03:59:00,,,101.830,
195,03-09-23 04:59:00,,,101.840,
196,03-09-23 05:59:00,,,101.830,
197,03-09-23 06:59:00,,,101.830,
198,03-09-23 07:59:00,,,101.780,
199,03-09-23 08:59:00,,,101.730,
200,03-09-23 09:59:00,,,101.730,
201,03-09-23 10:59:00,,,101.730,
202,03-09-23 11:59:00,,,101.770,
203,03-09-23 12:59:00,,,101.810,
204,03-09-23 13:56:08,101.844,31.268,,1.001
205,03-09-23 13:59:00,,,101.900,
206,03-09-23 14:11:08,101.832,33.953,,1.000
207,03-09-23 14:26:08,101.826,34.479,,1.000
208,03-09-23 14:41:08,101.804,34.479,,0.998
209,03-09-23 14:56:08,101.784,34.903,,0.996
210,03-09-23 14:59:00,,,101.890,
211,03-09-23 15:11:08,101.777,34.691,,0.995
212,03-09-23 15:26:08,101.785,34.585,,0.996
213,03-09-23 15:41:08,101.780,34.796,,0.995
214,03-09-23 15:56:08,101.755,34.691,,0.992
215,03-09-23 15:59:00,,,101.900,
216,03-09-23 16:11:08,101.751,33.535,,0.992
217,03-09-23 16:26:08,101.704,33.118,,0.988
218,03-09-23 16:41:08,101.712,31.983,,0.989
219,03-09-23 16:56:08,101.681,32.086,,0.986
220,03-09-23 16:59:00,,,101.880,
221,03-09-23 17:11:08,101.681,31.064,,0.987
222,03-09-23 17:26:08,101.702,29.752,,0.990
223,03-09-23 17:41:08,101.691,26.683,,0.990
224,03-09-23 17:56:08,101.680,25.513,,0.989
225,03-09-23 17:59:00,,,101.850,
226,03-09-23 18:11:08,101.650,24.448,,0.987
227,03-09-23 18:26:08,101.653,23.677,,0.989
228,03-09-23 18:41:08,101.653,23.100,,0.990
229,03-09-23 18:56:08,101.667,22.621,,0.993
230,03-09-23 18:59:00,,,101.800,
231,03-09-23 19:11:08,101.655,22.046,,0.993
232,03-09-23 19:26:08,101.658,21.855,,0.995
233,03-09-23 19:41:08,101.653,21.473,,0.996
234,03-09-23 19:56:08,101.649,21.378,,0.997
235,03-09-23 19:59:00,,,101.740,
236,03-09-23 20:11:08,101.653,21.473,,0.998
237,03-09-23 20:26:08,101.660,21.378,,1.000
238,03-09-23 20:41:08,101.668,21.282,,1.002
239,03-09-23 20:56:08,101.664,21.187,,1.002
240,03-09-23 20:59:00,,,101.710,
241,03-09-23 21:11:08,101.664,21.187,,1.003
242,03-09-23 21:26:08,101.682,21.091,,1.006
243,03-09-23 21:41:08,101.689,20.996,,1.008
244,03-09-23 21:56:08,101.696,20.901,,1.010
245,03-09-23 21:59:00,,,101.660,
246,03-09-23 22:11:08,101.706,20.615,,1.012
247,03-09-23 22:26:08,101.734,19.948,,1.015
248,03-09-23 22:41:08,101.722,19.662,,1.014
249,03-09-23 22:56:08,101.731,19.092,,1.015
250,03-09-23 22:59:00,,,101.650,
251,03-09-23 23:11:08,101.727,18.996,,1.014
252,03-09-23 23:26:08,101.698,19.377,,1.011
253,03-09-23 23:41:08,101.712,19.187,,1.012
254,03-09-23 23:56:08,101.704,19.758,,1.011
255,03-09-23 23:59:00,,,101.660,
256,03-10-23 00:11:08,101.720,20.138,,1.013
257,03-10-23 00:26:08,101.720,19.092,,1.012
258,03-10-23 00:41:08,101.708,19.092,,1.011
259,03-10-23 00:56:08,101.695,18.521,,1.009
260,03-10-23 00:59:00,,,101.670,
261,03-10-23 01:11:08,101.696,18.806,,1.009
262,03-10-23 01:26:08,101.683,19.282,,1.007
263,03-10-23 01:41:08,101.658,19.472,,1.004
264,03-10-23 01:56:08,101.667,19.948,,1.004
265,03-10-23 01:59:00,,,101.690,
266,03-10-23 02:11:08,101.647,19.472,,1.002
267,03-10-23 02:26:08,101.653,19.092,,1.002
268,03-10-23 02:41:08,101.669,18.426,,1.003
