Date,Time,pres (kPa)
3/1/2023,0:59:00,101.21
3/1/2023,1:59:00,101.25
3/1/2023,2:59:00,101.29
3/1/2023,3:59:00,101.28
3/1/2023,4:59:00,101.25
3/1/2023,5:59:00,101.2
3/1/2023,6:59:00,101.16
3/1/2023,7:59:00,101.14
3/1/2023,8:59:00,101.15
3/1/2023,9:59:00,101.14
3/1/2023,10:59:00,101.17
3/1/2023,11:59:00,101.18
3/1/2023,12:59:00,101.24
3/1/2023,13:59:00,101.35
3/1/2023,14:59:00,101.39
3/1/2023,15:59:00,101.45
3/1/2023,16:59:00,101.43
3/1/2023,17:59:00,101.34
3/1/2023,18:59:00,101.25
3/1/2023,19:59:00,101.1
3/1/2023,20:59:00,101.09
3/1/2023,21:59:00,101.03
3/1/2023,22:59:00,101.04
3/1/2023,23:59:00,101.1
3/2/2023,0:59:00,101.12
3/2/2023,1:59:00,101.13
3/2/2023,2:59:00,101.13
3/2/2023,4:59:00,101.04
3/2/2023,5:59:00,100.96
3/2/2023,6:59:00,100.95
3/2/2023,7:59:00,100.96
3/2/2023,8:59:00,100.95
3/2/2023,9:59:00,100.9
3/2/2023,10:59:00,100.89
3/2/2023,11:59:00,100.91
3/2/2023,12:59:00,100.95
3/2/2023,13:59:00,100.9
3/2/2023,14:59:00,100.94
3/2/2023,15:59:00,100.86
3/2/2023,16:59:00,100.89
3/2/2023,17:59:00,100.79
3/2/2023,18:59:00,100.64
3/2/2023,19:59:00,100.55
3/2/2023,20:59:00,100.47
3/2/2023,22:59:00,100.32
3/2/2023,23:59:00,100.26
3/3/2023,0:59:00,100.24
3/3/2023,1:59:00,100.22
3/3/2023,2:59:00,100.12
3/3/2023,3:59:00,100.07
3/3/2023,4:59:00,100.05
3/3/2023,5:59:00,99.99
3/3/2023,6:59:00,99.95
3/3/2023,7:59:00,99.84
3/3/2023,8:59:00,99.75
3/3/2023,9:59:00,100.01
3/3/2023,10:59:00,99.88
3/3/2023,11:59:00,99.95
3/3/2023,12:59:00,100
3/3/2023,13:59:00,100.21
3/3/2023,14:59:00,100.41
3/3/2023,15:59:00,100.42
3/3/2023,16:59:00,100.49
3/3/2023,17:59:00,100.5
3/3/2023,18:59:00,100.48
3/3/2023,19:59:00,100.48
3/3/2023,20:59:00,100.49
3/3/2023,21:59:00,100.48
3/3/2023,22:59:00,100.52
3/3/2023,23:59:00,100.59
3/4/2023,0:59:00,100.66
3/4/2023,1:59:00,100.76
3/4/2023,2:59:00,100.86
3/4/2023,3:59:00,100.9
3/4/2023,4:59:00,100.92
3/4/2023,5:59:00,100.94
3/4/2023,6:59:00,100.97
3/4/2023,7:59:00,101.02
3/4/2023,8:59:00,101.02
3/4/2023,9:59:00,101.07
3/4/2023,10:59:00,101.15
3/4/2023,11:59:00,101.25
3/4/2023,12:59:00,101.37
3/4/2023,13:59:00,101.46
3/4/2023,14:59:00,101.51
3/4/2023,15:59:00,101.52
3/4/2023,16:59:00,101.55
3/4/2023,17:59:00,101.49
3/4/2023,18:59:00,101.49
3/4/2023,19:59:00,101.47
3/4/2023,20:59:00,101.48
3/4/2023,21:59:00,101.47
3/4/2023,22:59:00,101.5
3/4/2023,23:59:00,101.55
3/5/2023,0:59:00,101.6
3/5/2023,1:59:00,101.64
3/5/2023,2:59:00,101.69
3/5/2023,3:59:00,101.73
3/5/2023,4:59:00,101.71
3/5/2023,5:59:00,101.72
3/5/2023,6:59:00,101.74
3/5/2023,7:59:00,101.73
3/5/2023,8:59:00,101.7
3/5/2023,9:59:00,101.71
3/5/2023,10:59:00,101.74
3/5/2023,11:59:00,101.78
3/5/2023,12:59:00,101.83
3/5/2023,13:59:00,101.89
3/5/2023,14:59:00,101.94
