"sampleNo","DateTime","pressure_kPa","temp","water_level","transect","plot","tidal"
202,2023-03-09 11:19:00,101.928,18.236,-1.316,"Young","1","supratidal"
203,2023-03-09 11:34:00,105.027,18.14,-1,"Young","1","supratidal"
204,2023-03-09 11:49:00,105.012,17.95,-1.003,"Young","1","supratidal"
206,2023-03-09 12:04:00,104.981,17.855,-1.007,"Young","1","supratidal"
207,2023-03-09 12:19:00,104.914,17.855,-1.015,"Young","1","supratidal"
208,2023-03-09 12:34:00,104.911,17.76,-1.016,"Young","1","supratidal"
209,2023-03-09 12:49:00,104.901,17.76,-1.018,"Young","1","supratidal"
211,2023-03-09 13:04:00,104.853,17.76,-1.024,"Young","1","supratidal"
212,2023-03-09 13:19:00,104.844,17.76,-1.028,"Young","1","supratidal"
213,2023-03-09 13:34:00,104.824,17.76,-1.032,"Young","1","supratidal"
214,2023-03-09 13:49:00,104.776,17.76,-1.039,"Young","1","supratidal"
216,2023-03-09 14:04:00,104.738,17.76,-1.044,"Young","1","supratidal"
217,2023-03-09 14:19:00,104.709,17.76,-1.047,"Young","1","supratidal"
218,2023-03-09 14:34:00,104.661,17.76,-1.052,"Young","1","supratidal"
219,2023-03-09 14:49:00,104.641,17.76,-1.054,"Young","1","supratidal"
221,2023-03-09 15:04:00,104.612,17.76,-1.056,"Young","1","supratidal"
222,2023-03-09 15:19:00,104.603,17.76,-1.058,"Young","1","supratidal"
223,2023-03-09 15:34:00,104.583,17.76,-1.06,"Young","1","supratidal"
224,2023-03-09 15:49:00,104.574,17.76,-1.061,"Young","1","supratidal"
226,2023-03-09 16:04:00,104.545,17.76,-1.064,"Young","1","supratidal"
227,2023-03-09 16:19:00,104.535,17.76,-1.065,"Young","1","supratidal"
228,2023-03-09 16:34:00,104.526,17.76,-1.065,"Young","1","supratidal"
229,2023-03-09 16:49:00,104.545,17.76,-1.062,"Young","1","supratidal"
231,2023-03-09 17:04:00,104.574,17.76,-1.059,"Young","1","supratidal"
232,2023-03-09 17:19:00,104.603,17.76,-1.055,"Young","1","supratidal"
233,2023-03-09 17:34:00,104.661,17.76,-1.048,"Young","1","supratidal"
234,2023-03-09 17:49:00,104.68,17.76,-1.046,"Young","1","supratidal"
236,2023-03-09 18:04:00,104.728,17.76,-1.04,"Young","1","supratidal"
237,2023-03-09 18:19:00,104.795,17.76,-1.032,"Young","1","supratidal"
238,2023-03-09 18:34:00,104.824,17.76,-1.028,"Young","1","supratidal"
239,2023-03-09 18:49:00,104.853,17.76,-1.023,"Young","1","supratidal"
241,2023-03-09 19:04:00,104.863,17.76,-1.021,"Young","1","supratidal"
242,2023-03-09 19:19:00,104.882,17.76,-1.017,"Young","1","supratidal"
243,2023-03-09 19:34:00,104.882,17.76,-1.016,"Young","1","supratidal"
244,2023-03-09 19:49:00,104.892,17.76,-1.013,"Young","1","supratidal"
246,2023-03-09 20:04:00,104.892,17.76,-1.012,"Young","1","supratidal"
247,2023-03-09 20:19:00,104.894,17.855,-1.011,"Young","1","supratidal"
248,2023-03-09 20:34:00,104.885,17.855,-1.011,"Young","1","supratidal"
