#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH)
1,3/9/23 13:41,33.99,168.83,3.78
2,3/9/23 13:56,32.87,154.27,4.04
3,3/9/23 14:11,34.41,157.02,4
4,3/9/23 14:26,24.24,-0.28,6.82
5,3/9/23 14:41,22.56,1.53,6.79
6,3/9/23 14:56,22.01,0.75,6.8
7,3/9/23 15:11,21.72,0.19,6.81
8,3/9/23 15:26,21.56,-0.47,6.82
9,3/9/23 15:41,21.46,-1.14,6.84
10,3/9/23 15:56,21.41,-1.69,6.85
11,3/9/23 16:11,21.37,-2.03,6.85
12,3/9/23 16:26,21.34,-2.38,6.86
13,3/9/23 16:41,21.32,-2.64,6.86
14,3/9/23 16:56,21.29,-2.73,6.87
15,3/9/23 17:11,21.27,-2.92,6.87
16,3/9/23 17:26,21.27,-2.98,6.87
17,3/9/23 17:41,21.25,-3.03,6.87
18,3/9/23 17:56,21.25,-3.09,6.87
19,3/9/23 18:11,21.25,-3.14,6.87
20,3/9/23 18:26,21.22,-3.16,6.87
21,3/9/23 18:41,21.22,-3.14,6.87
22,3/9/23 18:56,21.22,-3.16,6.87
23,3/9/23 19:11,21.22,-3.14,6.87
24,3/9/23 19:26,21.25,-3.13,6.87
25,3/9/23 19:41,21.25,-3.16,6.87
26,3/9/23 19:56,21.25,-3.17,6.87
27,3/9/23 20:11,21.25,-3.2,6.88
28,3/9/23 20:26,21.27,-3.2,6.88
29,3/9/23 20:41,21.27,-3.17,6.87
30,3/9/23 20:56,21.27,-3.14,6.87
31,3/9/23 21:11,21.27,-3.11,6.87
32,3/9/23 21:26,21.29,-3.06,6.87
33,3/9/23 21:41,21.29,-3.02,6.87
34,3/9/23 21:56,21.29,-3.11,6.87
35,3/9/23 22:11,21.29,-3.17,6.87
36,3/9/23 22:26,21.29,-3.16,6.87
37,3/9/23 22:41,21.32,-3.16,6.87
38,3/9/23 22:56,21.32,-3.19,6.87
39,3/9/23 23:11,21.32,-3.17,6.87
40,3/9/23 23:26,21.32,-3.19,6.87
41,3/9/23 23:41,21.34,-3.14,6.87
42,3/9/23 23:56,21.34,-3.11,6.87
43,3/10/23 00:11,21.34,-3.16,6.87
44,3/10/23 00:26,21.34,-3.14,6.87
45,3/10/23 00:41,21.37,-3.13,6.87
46,3/10/23 00:56,21.37,-3.14,6.87
47,3/10/23 01:11,21.37,-3.2,6.88
48,3/10/23 01:26,21.37,-3.23,6.88
49,3/10/23 01:41,21.37,-3.28,6.88
50,3/10/23 01:56,21.37,-3.38,6.88
51,3/10/23 02:11,21.39,-3.42,6.88
52,3/10/23 02:26,21.39,-3.48,6.88
53,3/10/23 02:41,21.39,-3.47,6.88
54,3/10/23 02:56,21.39,-3.47,6.88
55,3/10/23 03:11,21.39,-3.47,6.88
56,3/10/23 03:26,21.39,-3.5,6.88
57,3/10/23 03:41,21.39,-3.48,6.88
58,3/10/23 03:56,21.39,-3.45,6.88
59,3/10/23 04:11,21.39,-3.39,6.88
60,3/10/23 04:26,21.39,-3.34,6.88
61,3/10/23 04:41,21.37,-3.28,6.88
62,3/10/23 04:56,21.37,-3.27,6.88
63,3/10/23 05:11,21.37,-3.33,6.88
64,3/10/23 05:26,21.37,-3.45,6.88
65,3/10/23 05:41,21.37,-3.59,6.88
66,3/10/23 05:56,21.34,-3.69,6.88
67,3/10/23 06:11,21.34,-3.75,6.89
68,3/10/23 06:26,21.34,-3.8,6.89
69,3/10/23 06:41,21.34,-3.81,6.89
70,3/10/23 06:56,21.34,-3.83,6.89
71,3/10/23 07:11,21.34,-3.86,6.89
72,3/10/23 07:26,21.34,-3.84,6.89
73,3/10/23 07:41,21.37,-3.86,6.89
74,3/10/23 07:56,21.37,-3.84,6.89
75,3/10/23 08:11,21.39,-3.86,6.89
76,3/10/23 08:26,21.39,-3.88,6.89
77,3/10/23 08:41,21.41,-3.88,6.89
78,3/10/23 08:56,21.41,-3.89,6.89
79,3/10/23 09:11,21.41,-3.92,6.89
80,3/10/23 09:26,21.44,-3.94,6.89
81,3/10/23 09:41,21.44,-3.95,6.89
82,3/10/23 09:56,21.46,-3.97,6.89
83,3/10/23 10:11,21.46,-3.97,6.89
84,3/10/23 10:26,21.49,-3.98,6.89
85,3/10/23 10:41,21.49,-3.98,6.89
86,3/10/23 10:56,21.49,-4,6.89
87,3/10/23 11:11,21.51,-4.02,6.89
88,3/10/23 11:26,21.51,-4.05,6.89
89,3/10/23 11:41,21.51,-4.05,6.89
90,3/10/23 11:56,21.51,-4.03,6.89
91,3/10/23 12:11,21.53,-4.11,6.89
92,3/10/23 12:26,21.53,-4.11,6.89
93,3/10/23 12:41,21.53,-4.11,6.89
94,3/10/23 12:56,21.53,-4.13,6.89
