#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH)
1,3/8/23 14:34,20.56,-38.45,7.51
2,3/8/23 14:49,18.87,-0.36,6.79
3,3/8/23 15:04,18.39,-0.59,6.8
4,3/8/23 15:19,18.03,-0.59,6.8
5,3/8/23 15:34,17.82,-0.7,6.8
6,3/8/23 15:49,17.68,-1.08,6.8
7,3/8/23 16:04,17.58,-1.44,6.81
8,3/8/23 16:19,17.51,-1.81,6.82
9,3/8/23 16:34,17.46,-1.84,6.82
10,3/8/23 16:49,17.44,-1.45,6.81
11,3/8/23 17:04,17.42,-1.77,6.82
12,3/8/23 17:19,17.39,-2.16,6.82
13,3/8/23 17:34,17.39,-2.25,6.83
14,3/8/23 17:49,17.37,-2.05,6.82
15,3/8/23 18:04,17.37,-1.98,6.82
16,3/8/23 18:19,17.37,-1.91,6.82
17,3/8/23 18:34,17.37,-2.03,6.82
18,3/8/23 18:49,17.37,-2.14,6.82
19,3/8/23 19:04,17.37,-2.23,6.83
20,3/8/23 19:19,17.39,-2.31,6.83
21,3/8/23 19:34,17.39,-2.38,6.83
22,3/8/23 19:49,17.39,-2.41,6.83
23,3/8/23 20:04,17.39,-2.42,6.83
24,3/8/23 20:19,17.42,-2.45,6.83
25,3/8/23 20:34,17.42,-2.47,6.83
26,3/8/23 20:49,17.44,-2.5,6.83
27,3/8/23 21:04,17.44,-2.55,6.83
28,3/8/23 21:19,17.44,-2.61,6.83
29,3/8/23 21:34,17.46,-2.67,6.83
30,3/8/23 21:49,17.46,-2.72,6.84
31,3/8/23 22:04,17.46,-2.77,6.84
32,3/8/23 22:19,17.49,-2.81,6.84
33,3/8/23 22:34,17.49,-2.84,6.84
34,3/8/23 22:49,17.49,-2.88,6.84
35,3/8/23 23:04,17.49,-2.89,6.84
36,3/8/23 23:19,17.49,-2.91,6.84
37,3/8/23 23:34,17.49,-2.91,6.84
38,3/8/23 23:49,17.51,-2.86,6.84
39,3/9/23 00:04,17.51,-2.77,6.84
40,3/9/23 00:19,17.51,-2.69,6.83
41,3/9/23 00:34,17.51,-2.61,6.83
42,3/9/23 00:49,17.49,-2.58,6.83
43,3/9/23 01:04,17.51,-2.63,6.83
44,3/9/23 01:19,17.51,-2.7,6.84
45,3/9/23 01:34,17.51,-2.77,6.84
46,3/9/23 01:49,17.51,-2.78,6.84
47,3/9/23 02:04,17.51,-2.77,6.84
48,3/9/23 02:19,17.51,-2.7,6.84
49,3/9/23 02:34,17.51,-2.67,6.83
50,3/9/23 02:49,17.51,-2.67,6.83
51,3/9/23 03:04,17.51,-2.69,6.83
52,3/9/23 03:19,17.53,-2.7,6.84
53,3/9/23 03:34,17.53,-2.72,6.84
54,3/9/23 03:49,17.53,-2.75,6.84
55,3/9/23 04:04,17.53,-2.78,6.84
56,3/9/23 04:19,17.56,-2.8,6.84
57,3/9/23 04:34,17.56,-2.81,6.84
58,3/9/23 04:49,17.56,-2.86,6.84
59,3/9/23 05:04,17.56,-2.89,6.84
60,3/9/23 05:19,17.58,-2.95,6.84
61,3/9/23 05:34,17.58,-3.05,6.84
62,3/9/23 05:49,17.58,-3.17,6.84
63,3/9/23 06:04,17.61,-3.27,6.85
64,3/9/23 06:19,17.61,-3.34,6.85
65,3/9/23 06:34,17.63,-3.41,6.85
66,3/9/23 06:49,17.63,-3.42,6.85
67,3/9/23 07:04,17.63,-3.44,6.85
68,3/9/23 07:19,17.63,-3.39,6.85
69,3/9/23 07:34,17.63,-3.39,6.85
70,3/9/23 07:49,17.65,-3.38,6.85
71,3/9/23 08:04,17.65,-3.38,6.85
72,3/9/23 08:19,17.63,-3.38,6.85
73,3/9/23 08:34,17.63,-3.41,6.85
74,3/9/23 08:49,17.61,-3.41,6.85
75,3/9/23 09:04,17.61,-3.38,6.85
76,3/9/23 09:19,17.58,-3.38,6.85
77,3/9/23 09:34,17.56,-3.39,6.85
78,3/9/23 09:49,17.53,-3.42,6.85
79,3/9/23 10:04,17.53,-3.44,6.85
80,3/9/23 10:19,17.51,-3.45,6.85
81,3/9/23 10:34,17.53,-3.47,6.85
82,3/9/23 10:49,17.53,-3.39,6.85
83,3/9/23 11:04,17.56,-3.25,6.85
84,3/9/23 11:19,17.56,-3.17,6.84
85,3/9/23 11:34,17.56,-3.2,6.84
86,3/9/23 11:49,17.56,-3.28,6.85
87,3/9/23 12:04,17.58,-3.27,6.85
88,3/9/23 12:19,17.58,-3.2,6.84
89,3/9/23 12:34,17.58,-3.09,6.84
90,3/9/23 12:49,17.58,-2.98,6.84
91,3/9/23 13:04,17.58,-2.91,6.84
92,3/9/23 13:19,17.58,-2.88,6.84
93,3/9/23 13:34,17.58,-2.86,6.84
94,3/9/23 13:49,17.56,-2.88,6.84
95,3/9/23 14:04,17.56,-2.92,6.84
96,3/9/23 14:19,17.56,-3.03,6.84
97,3/9/23 14:34,17.56,-3.14,6.84
98,3/9/23 14:49,17.56,-3.27,6.85
99,3/9/23 15:04,17.56,-3.39,6.85
100,3/9/23 15:19,17.56,-3.44,6.85
101,3/9/23 15:34,17.56,-3.5,6.85
102,3/9/23 15:49,17.56,-3.5,6.85
103,3/9/23 16:04,17.53,-3.48,6.85
104,3/9/23 16:19,17.53,-3.47,6.85
105,3/9/23 16:34,17.53,-3.45,6.85
106,3/9/23 16:49,17.53,-3.48,6.85
107,3/9/23 17:04,17.53,-3.52,6.85
108,3/9/23 17:19,17.53,-3.56,6.85
109,3/9/23 17:34,17.53,-3.63,6.85
110,3/9/23 17:49,17.56,-3.66,6.85
111,3/9/23 18:04,17.56,-3.7,6.85
112,3/9/23 18:19,17.56,-3.73,6.85
113,3/9/23 18:34,17.56,-3.78,6.86
114,3/9/23 18:49,17.56,-3.84,6.86
115,3/9/23 19:04,17.56,-3.92,6.86
116,3/9/23 19:19,17.58,-3.97,6.86
117,3/9/23 19:34,17.58,-4,6.86
118,3/9/23 19:49,17.58,-3.98,6.86
119,3/9/23 20:04,17.61,-3.97,6.86
120,3/9/23 20:19,17.61,-3.98,6.86
121,3/9/23 20:34,17.61,-4,6.86
122,3/9/23 20:49,17.61,-4.02,6.86
123,3/9/23 21:04,17.63,-4,6.86
124,3/9/23 21:19,17.63,-3.97,6.86
125,3/9/23 21:34,17.63,-3.92,6.86
126,3/9/23 21:49,17.65,-3.88,6.86
127,3/9/23 22:04,17.65,-3.84,6.86
128,3/9/23 22:19,17.65,-3.81,6.86
129,3/9/23 22:34,17.65,-3.84,6.86
130,3/9/23 22:49,17.68,-3.83,6.86
131,3/9/23 23:04,17.68,-3.83,6.86
132,3/9/23 23:19,17.68,-3.81,6.86
133,3/9/23 23:34,17.68,-3.78,6.86
134,3/9/23 23:49,17.68,-3.72,6.85
135,3/10/23 00:04,17.68,-3.67,6.85
136,3/10/23 00:19,17.7,-3.64,6.85
137,3/10/23 00:34,17.7,-3.63,6.85
138,3/10/23 00:49,17.7,-3.61,6.85
139,3/10/23 01:04,17.7,-3.61,6.85
140,3/10/23 01:19,17.7,-3.58,6.85
141,3/10/23 01:34,17.7,-3.58,6.85
142,3/10/23 01:49,17.7,-3.59,6.85
143,3/10/23 02:04,17.7,-3.47,6.85
144,3/10/23 02:19,17.7,-3.56,6.85
145,3/10/23 02:34,17.7,-3.72,6.85
146,3/10/23 02:49,17.7,-3.89,6.86
147,3/10/23 03:04,17.7,-4.02,6.86
148,3/10/23 03:19,17.7,-4.06,6.86
149,3/10/23 03:34,17.7,-4.05,6.86
150,3/10/23 03:49,17.7,-4.02,6.86
151,3/10/23 04:04,17.7,-4.02,6.86
152,3/10/23 04:19,17.7,-4.03,6.86
153,3/10/23 04:34,17.7,-4.06,6.86
154,3/10/23 04:49,17.7,-4.13,6.86
155,3/10/23 05:04,17.72,-4.13,6.86
156,3/10/23 05:19,17.72,-4.11,6.86
157,3/10/23 05:34,17.72,-4.11,6.86
158,3/10/23 05:49,17.72,-4.11,6.86
159,3/10/23 06:04,17.72,-4.14,6.86
160,3/10/23 06:19,17.72,-4.16,6.86
161,3/10/23 06:34,17.75,-4.17,6.86
162,3/10/23 06:49,17.75,-4.23,6.86
163,3/10/23 07:04,17.75,-4.22,6.86
164,3/10/23 07:19,17.77,-4.27,6.87
165,3/10/23 07:34,17.77,-4.3,6.87
166,3/10/23 07:49,17.8,-4.31,6.87
167,3/10/23 08:04,17.8,-4.31,6.87
168,3/10/23 08:19,17.82,-4.3,6.87
169,3/10/23 08:34,17.82,-4.3,6.87
170,3/10/23 08:49,17.82,-4.27,6.87
171,3/10/23 09:04,17.82,-4.22,6.86
172,3/10/23 09:19,17.82,-4.2,6.86
173,3/10/23 09:34,17.82,-4.2,6.86
174,3/10/23 09:49,17.82,-4.23,6.86
175,3/10/23 10:04,17.82,-4.25,6.86
176,3/10/23 10:19,17.82,-4.25,6.86
177,3/10/23 10:34,17.82,-4.27,6.87
178,3/10/23 10:49,17.82,-4.3,6.87
179,3/10/23 11:04,17.8,-4.33,6.87
180,3/10/23 11:19,17.8,-4.36,6.87
181,3/10/23 11:34,17.8,-4.38,6.87
182,3/10/23 11:49,17.8,-4.41,6.87
183,3/10/23 12:04,17.8,-4.42,6.87
184,3/10/23 12:19,17.8,-4.42,6.87
185,3/10/23 12:34,17.8,-4.42,6.87
186,3/10/23 12:49,17.8,-4.42,6.87
187,3/10/23 13:04,17.77,-4.44,6.87
188,3/10/23 13:19,17.77,-4.44,6.87
189,3/10/23 13:34,17.77,-4.45,6.87
190,3/10/23 13:49,17.77,-4.45,6.87
191,3/10/23 14:04,17.77,-4.47,6.87
192,3/10/23 14:19,17.77,-4.48,6.87
193,3/10/23 14:34,17.77,-4.48,6.87
194,3/10/23 14:49,17.75,-4.5,6.87
195,3/10/23 15:04,17.75,-4.48,6.87
196,3/10/23 15:19,17.75,-4.5,6.87
197,3/10/23 15:34,17.75,-4.5,6.87
198,3/10/23 15:49,17.75,-4.5,6.87
199,3/10/23 16:04,17.75,-4.5,6.87
200,3/10/23 16:19,17.75,-4.5,6.87
201,3/10/23 16:34,17.75,-4.52,6.87
202,3/10/23 16:49,17.75,-4.52,6.87
203,3/10/23 17:04,17.75,-4.52,6.87
204,3/10/23 17:19,17.75,-4.53,6.87
205,3/10/23 17:34,17.72,-4.53,6.87
206,3/10/23 17:49,17.72,-4.55,6.87
207,3/10/23 18:04,17.72,-4.56,6.87
208,3/10/23 18:19,17.72,-4.56,6.87
209,3/10/23 18:34,17.72,-4.59,6.87
210,3/10/23 18:49,17.72,-4.59,6.87
211,3/10/23 19:04,17.72,-4.61,6.87
212,3/10/23 19:19,17.72,-4.61,6.87
213,3/10/23 19:34,17.72,-4.61,6.87
214,3/10/23 19:49,17.72,-4.61,6.87
215,3/10/23 20:04,17.72,-4.59,6.87
216,3/10/23 20:19,17.72,-4.56,6.87
217,3/10/23 20:34,17.72,-4.53,6.87
218,3/10/23 20:49,17.75,-4.55,6.87
219,3/10/23 21:04,17.75,-4.58,6.87
220,3/10/23 21:19,17.75,-4.66,6.87
221,3/10/23 21:34,17.75,-4.75,6.87
222,3/10/23 21:49,17.75,-4.83,6.88
223,3/10/23 22:04,17.75,-4.91,6.88
224,3/10/23 22:19,17.75,-4.97,6.88
225,3/10/23 22:34,17.75,-4.98,6.88
226,3/10/23 22:49,17.75,-5.03,6.88
227,3/10/23 23:04,17.75,-5.13,6.88
228,3/10/23 23:19,17.77,-5.2,6.88
229,3/10/23 23:34,17.77,-5.14,6.88
230,3/10/23 23:49,17.77,-5.08,6.88
231,3/11/23 00:04,17.77,-5.11,6.88
232,3/11/23 00:19,17.77,-5.19,6.88
233,3/11/23 00:34,17.77,-5.25,6.88
234,3/11/23 00:49,17.77,-5.27,6.88
235,3/11/23 01:04,17.77,-5.3,6.88
236,3/11/23 01:19,17.77,-5.3,6.88
237,3/11/23 01:34,17.77,-5.31,6.88
238,3/11/23 01:49,17.77,-5.36,6.89
239,3/11/23 02:04,17.77,-5.41,6.89
240,3/11/23 02:19,17.77,-5.41,6.89
241,3/11/23 02:34,17.77,-5.3,6.88
242,3/11/23 02:49,17.77,-4.98,6.88
243,3/11/23 03:04,17.75,-4.5,6.87
244,3/11/23 03:19,17.75,-4.02,6.86
245,3/11/23 03:34,17.75,-4.45,6.87
246,3/11/23 03:49,17.75,-5.2,6.88
247,3/11/23 04:04,17.75,-5.52,6.89
248,3/11/23 04:19,17.75,-5.69,6.89
