"sampleNo","DateTime","temp","raw_mV","pH","transect","plot","tidal"
1,2023-03-09 13:34:00,33.31,151.79,4.16,"Old","1","supratidal"
2,2023-03-09 13:49:00,29.59,157.77,4.02,"Old","1","supratidal"
3,2023-03-09 14:04:00,25.36,163.46,3.87,"Old","1","supratidal"
4,2023-03-09 14:19:00,23.45,165.68,3.81,"Old","1","supratidal"
5,2023-03-09 14:34:00,22.47,166.77,3.78,"Old","1","supratidal"
6,2023-03-09 14:49:00,21.89,167.36,3.76,"Old","1","supratidal"
7,2023-03-09 15:04:00,21.53,167.6,3.76,"Old","1","supratidal"
8,2023-03-09 15:19:00,21.32,167.38,3.76,"Old","1","supratidal"
9,2023-03-09 15:34:00,21.17,166.97,3.76,"Old","1","supratidal"
10,2023-03-09 15:49:00,21.08,166.58,3.77,"Old","1","supratidal"
11,2023-03-09 16:04:00,21.01,166.19,3.78,"Old","1","supratidal"
12,2023-03-09 16:19:00,20.96,165.82,3.78,"Old","1","supratidal"
13,2023-03-09 16:34:00,20.91,165.46,3.79,"Old","1","supratidal"
14,2023-03-09 16:49:00,20.89,165.11,3.79,"Old","1","supratidal"
15,2023-03-09 17:04:00,20.86,164.79,3.8,"Old","1","supratidal"
16,2023-03-09 17:19:00,20.84,164.46,3.81,"Old","1","supratidal"
17,2023-03-09 17:34:00,20.82,164.16,3.81,"Old","1","supratidal"
18,2023-03-09 17:49:00,20.82,163.86,3.82,"Old","1","supratidal"
19,2023-03-09 18:04:00,20.79,163.57,3.82,"Old","1","supratidal"
20,2023-03-09 18:19:00,20.79,163.27,3.83,"Old","1","supratidal"
21,2023-03-09 18:34:00,20.79,162.97,3.83,"Old","1","supratidal"
22,2023-03-09 18:49:00,20.77,162.68,3.84,"Old","1","supratidal"
23,2023-03-09 19:04:00,20.77,162.44,3.84,"Old","1","supratidal"
24,2023-03-09 19:19:00,20.77,162.18,3.85,"Old","1","supratidal"
25,2023-03-09 19:34:00,20.77,161.97,3.85,"Old","1","supratidal"
26,2023-03-09 19:49:00,20.75,161.79,3.85,"Old","1","supratidal"
27,2023-03-09 20:04:00,20.75,161.61,3.86,"Old","1","supratidal"
28,2023-03-09 20:19:00,20.75,161.41,3.86,"Old","1","supratidal"
29,2023-03-09 20:34:00,20.75,161.22,3.86,"Old","1","supratidal"
30,2023-03-09 20:49:00,20.75,161.21,3.87,"Old","1","supratidal"
31,2023-03-09 21:04:00,20.75,161,3.87,"Old","1","supratidal"
32,2023-03-09 21:19:00,20.75,160.88,3.87,"Old","1","supratidal"
33,2023-03-09 21:34:00,20.75,160.72,3.87,"Old","1","supratidal"
34,2023-03-09 21:49:00,20.75,160.61,3.88,"Old","1","supratidal"
35,2023-03-09 22:04:00,20.75,160.54,3.88,"Old","1","supratidal"
36,2023-03-09 22:19:00,20.75,160.44,3.88,"Old","1","supratidal"
37,2023-03-09 22:34:00,20.75,160.36,3.88,"Old","1","supratidal"
38,2023-03-09 22:49:00,20.75,160.27,3.88,"Old","1","supratidal"
39,2023-03-09 23:04:00,20.75,160.04,3.89,"Old","1","supratidal"
40,2023-03-09 23:19:00,20.75,159.9,3.89,"Old","1","supratidal"
41,2023-03-09 23:34:00,20.75,159.79,3.89,"Old","1","supratidal"
42,2023-03-09 23:49:00,20.75,159.71,3.89,"Old","1","supratidal"
43,2023-03-10 00:04:00,20.75,159.61,3.89,"Old","1","supratidal"
44,2023-03-10 00:19:00,20.75,159.5,3.9,"Old","1","supratidal"
45,2023-03-10 00:34:00,20.75,159.54,3.9,"Old","1","supratidal"
46,2023-03-10 00:49:00,20.75,159.27,3.9,"Old","1","supratidal"
47,2023-03-10 01:04:00,20.75,159.15,3.9,"Old","1","supratidal"
48,2023-03-10 01:19:00,20.75,159.02,3.91,"Old","1","supratidal"
49,2023-03-10 01:34:00,20.77,158.91,3.91,"Old","1","supratidal"
50,2023-03-10 01:49:00,20.77,158.82,3.91,"Old","1","supratidal"
51,2023-03-10 02:04:00,20.77,158.72,3.91,"Old","1","supratidal"
52,2023-03-10 02:19:00,20.77,158.61,3.91,"Old","1","supratidal"
53,2023-03-10 02:34:00,20.77,158.52,3.91,"Old","1","supratidal"
54,2023-03-10 02:49:00,20.77,158.38,3.92,"Old","1","supratidal"
55,2023-03-10 03:04:00,20.77,158.27,3.92,"Old","1","supratidal"
56,2023-03-10 03:19:00,20.77,158.16,3.92,"Old","1","supratidal"
57,2023-03-10 03:34:00,20.77,158.04,3.92,"Old","1","supratidal"
58,2023-03-10 03:49:00,20.79,157.91,3.93,"Old","1","supratidal"
59,2023-03-10 04:04:00,20.79,157.83,3.93,"Old","1","supratidal"
60,2023-03-10 04:19:00,20.79,157.72,3.93,"Old","1","supratidal"
61,2023-03-10 04:34:00,20.79,157.61,3.93,"Old","1","supratidal"
62,2023-03-10 04:49:00,20.79,157.54,3.93,"Old","1","supratidal"
63,2023-03-10 05:04:00,20.79,157.43,3.93,"Old","1","supratidal"
64,2023-03-10 05:19:00,20.79,157.32,3.94,"Old","1","supratidal"
65,2023-03-10 05:34:00,20.82,157.21,3.94,"Old","1","supratidal"
66,2023-03-10 05:49:00,20.82,157.1,3.94,"Old","1","supratidal"
67,2023-03-10 06:04:00,20.82,157.02,3.94,"Old","1","supratidal"
68,2023-03-10 06:19:00,20.82,156.94,3.94,"Old","1","supratidal"
69,2023-03-10 06:34:00,20.82,156.83,3.95,"Old","1","supratidal"
70,2023-03-10 06:49:00,20.82,156.74,3.95,"Old","1","supratidal"
71,2023-03-10 07:04:00,20.82,156.66,3.95,"Old","1","supratidal"
72,2023-03-10 07:19:00,20.82,156.57,3.95,"Old","1","supratidal"
73,2023-03-10 07:34:00,20.82,156.47,3.95,"Old","1","supratidal"
74,2023-03-10 07:49:00,20.82,156.41,3.95,"Old","1","supratidal"
75,2023-03-10 08:04:00,20.84,156.32,3.96,"Old","1","supratidal"
76,2023-03-10 08:19:00,20.84,156.22,3.96,"Old","1","supratidal"
77,2023-03-10 08:34:00,20.84,156.13,3.96,"Old","1","supratidal"
78,2023-03-10 08:49:00,20.84,156.02,3.96,"Old","1","supratidal"
79,2023-03-10 09:04:00,20.84,155.93,3.96,"Old","1","supratidal"
80,2023-03-10 09:19:00,20.84,155.83,3.96,"Old","1","supratidal"
81,2023-03-10 09:34:00,20.84,155.72,3.97,"Old","1","supratidal"
82,2023-03-10 09:49:00,20.84,155.65,3.97,"Old","1","supratidal"
83,2023-03-10 10:04:00,20.84,155.54,3.97,"Old","1","supratidal"
84,2023-03-10 10:19:00,20.84,155.44,3.97,"Old","1","supratidal"
85,2023-03-10 10:34:00,20.84,155.35,3.97,"Old","1","supratidal"
86,2023-03-10 10:49:00,20.86,155.32,3.97,"Old","1","supratidal"
87,2023-03-10 11:04:00,20.86,155.21,3.98,"Old","1","supratidal"
88,2023-03-10 11:19:00,20.86,155.11,3.98,"Old","1","supratidal"
89,2023-03-10 11:34:00,20.86,155.04,3.98,"Old","1","supratidal"
90,2023-03-10 11:49:00,20.86,154.99,3.98,"Old","1","supratidal"
91,2023-03-10 12:04:00,20.86,154.93,3.98,"Old","1","supratidal"
92,2023-03-10 12:19:00,20.86,154.8,3.98,"Old","1","supratidal"
93,2023-03-10 12:34:00,20.86,154.72,3.99,"Old","1","supratidal"
94,2023-03-10 12:49:00,20.86,154.65,3.99,"Old","1","supratidal"
95,2023-03-10 13:04:00,20.86,154.54,3.99,"Old","1","supratidal"
96,2023-03-10 13:19:00,20.86,154.46,3.99,"Old","1","supratidal"
97,2023-03-10 13:34:00,20.86,154.38,3.99,"Old","1","supratidal"
98,2023-03-10 13:49:00,20.86,154.3,3.99,"Old","1","supratidal"
99,2023-03-10 14:04:00,20.86,154.18,4,"Old","1","supratidal"
100,2023-03-10 14:19:00,20.86,154.11,4,"Old","1","supratidal"
101,2023-03-10 14:34:00,20.86,154.07,4,"Old","1","supratidal"
102,2023-03-10 14:49:00,20.86,153.99,4,"Old","1","supratidal"
103,2023-03-10 15:04:00,20.86,154.1,4,"Old","1","supratidal"
104,2023-03-10 15:19:00,20.86,153.79,4,"Old","1","supratidal"
105,2023-03-10 15:34:00,20.86,153.69,4,"Old","1","supratidal"
106,2023-03-10 15:49:00,20.86,153.61,4.01,"Old","1","supratidal"
107,2023-03-10 16:04:00,20.86,153.54,4.01,"Old","1","supratidal"
108,2023-03-10 16:19:00,20.86,153.46,4.01,"Old","1","supratidal"
109,2023-03-10 16:34:00,20.86,153.36,4.01,"Old","1","supratidal"
110,2023-03-10 16:49:00,20.86,153.27,4.01,"Old","1","supratidal"
111,2023-03-10 17:04:00,20.86,153.21,4.01,"Old","1","supratidal"
112,2023-03-10 17:19:00,20.86,153.1,4.02,"Old","1","supratidal"
113,2023-03-10 17:34:00,20.86,153.04,4.02,"Old","1","supratidal"
114,2023-03-10 17:49:00,20.86,152.96,4.02,"Old","1","supratidal"
115,2023-03-10 18:04:00,20.86,152.88,4.02,"Old","1","supratidal"
116,2023-03-10 18:19:00,20.86,152.79,4.02,"Old","1","supratidal"
117,2023-03-10 18:34:00,20.86,152.72,4.02,"Old","1","supratidal"
118,2023-03-10 18:49:00,20.84,152.69,4.02,"Old","1","supratidal"
119,2023-03-10 19:04:00,20.84,152.61,4.02,"Old","1","supratidal"
120,2023-03-10 19:19:00,20.84,152.55,4.02,"Old","1","supratidal"
121,2023-03-10 19:34:00,20.84,152.47,4.03,"Old","1","supratidal"
122,2023-03-10 19:49:00,20.84,152.38,4.03,"Old","1","supratidal"
123,2023-03-10 20:04:00,20.84,152.35,4.03,"Old","1","supratidal"
124,2023-03-10 20:19:00,20.84,152.25,4.03,"Old","1","supratidal"
125,2023-03-10 20:34:00,20.84,152.21,4.03,"Old","1","supratidal"
126,2023-03-10 20:49:00,20.84,152.11,4.03,"Old","1","supratidal"
127,2023-03-10 21:04:00,20.84,152.04,4.03,"Old","1","supratidal"
128,2023-03-10 21:19:00,20.84,151.96,4.04,"Old","1","supratidal"
129,2023-03-10 21:34:00,20.84,151.88,4.04,"Old","1","supratidal"
130,2023-03-10 21:49:00,20.84,151.79,4.04,"Old","1","supratidal"
131,2023-03-10 22:04:00,20.84,151.72,4.04,"Old","1","supratidal"
132,2023-03-10 22:19:00,20.84,151.68,4.04,"Old","1","supratidal"
133,2023-03-10 22:34:00,20.84,151.6,4.04,"Old","1","supratidal"
134,2023-03-10 22:49:00,20.86,151.52,4.04,"Old","1","supratidal"
135,2023-03-10 23:04:00,20.86,151.44,4.05,"Old","1","supratidal"
136,2023-03-10 23:19:00,20.86,151.4,4.05,"Old","1","supratidal"
137,2023-03-10 23:34:00,20.86,151.29,4.05,"Old","1","supratidal"
138,2023-03-10 23:49:00,20.86,151.38,4.05,"Old","1","supratidal"
139,2023-03-11 00:04:00,20.86,151.15,4.05,"Old","1","supratidal"
140,2023-03-11 00:19:00,20.86,151.08,4.05,"Old","1","supratidal"
141,2023-03-11 00:34:00,20.86,151,4.05,"Old","1","supratidal"
142,2023-03-11 00:49:00,20.86,150.94,4.05,"Old","1","supratidal"
143,2023-03-11 01:04:00,20.86,150.91,4.06,"Old","1","supratidal"
144,2023-03-11 01:19:00,20.86,150.85,4.06,"Old","1","supratidal"
145,2023-03-11 01:34:00,20.86,150.8,4.06,"Old","1","supratidal"
146,2023-03-11 01:49:00,20.86,150.68,4.06,"Old","1","supratidal"
147,2023-03-11 02:04:00,20.86,150.57,4.06,"Old","1","supratidal"
148,2023-03-11 02:19:00,20.89,150.46,4.06,"Old","1","supratidal"
149,2023-03-11 02:34:00,20.89,150.35,4.07,"Old","1","supratidal"
150,2023-03-11 02:49:00,20.89,150.36,4.07,"Old","1","supratidal"
151,2023-03-11 03:04:00,20.89,150.08,4.07,"Old","1","supratidal"
152,2023-03-11 03:19:00,20.89,149.97,4.07,"Old","1","supratidal"
153,2023-03-11 03:34:00,20.89,149.86,4.07,"Old","1","supratidal"
154,2023-03-11 03:49:00,20.89,149.75,4.08,"Old","1","supratidal"
155,2023-03-11 04:04:00,20.89,149.66,4.08,"Old","1","supratidal"
156,2023-03-11 04:19:00,20.89,149.57,4.08,"Old","1","supratidal"
157,2023-03-11 04:34:00,20.89,149.46,4.08,"Old","1","supratidal"
158,2023-03-11 04:49:00,20.89,149.4,4.08,"Old","1","supratidal"
159,2023-03-11 05:04:00,20.91,149.33,4.08,"Old","1","supratidal"
160,2023-03-11 05:19:00,20.91,149.29,4.09,"Old","1","supratidal"
161,2023-03-11 05:34:00,20.91,149.24,4.09,"Old","1","supratidal"
162,2023-03-11 05:49:00,20.91,149.16,4.09,"Old","1","supratidal"
163,2023-03-11 06:04:00,20.91,149.11,4.09,"Old","1","supratidal"
164,2023-03-11 06:19:00,20.91,149.04,4.09,"Old","1","supratidal"
165,2023-03-11 06:34:00,20.91,148.94,4.09,"Old","1","supratidal"
166,2023-03-11 06:49:00,20.91,148.9,4.09,"Old","1","supratidal"
167,2023-03-11 07:04:00,20.91,148.86,4.09,"Old","1","supratidal"
