DateTime,RECORD,LoggerID,BattV,PTemp_C,Avg_220915_24_10,Avg_220915_24_20,Avg_220915_24_30,Avg_220915_24_40,Avg_220915_15_10,Avg_220915_15_20,Avg_220915_15_30,Avg_220915_15_40,Avg_220915_12_10,Avg_220915_12_20,Avg_220915_12_30,Avg_220915_12_40,Avg_220916_12_0,Std_220915_24_10,Std_220915_24_20,Std_220915_24_30,Std_220915_24_40,Std_220915_15_10,Std_220915_15_20,Std_220915_15_30,Std_220915_15_40,Std_220915_12_10,Std_220915_12_20,Std_220915_12_30,Std_220915_12_40,Std_220916_12_0
3/9/23 11:30,0,DL42385,13.12,25.5,-408.4335,-194.8878,-278.4331,-186.9971,-169.5033,-160.5176,-222.5308,-244.2927,-373.4092,-285.011,-143.4934,-326.3521,27.5961,29.5184,29.59135,30.37145,30.82016,31.56693,32.05519,32.36135,32.77282,33.15867,33.63324,33.92201,34.25116,32.30006
3/9/23 11:45,1,DL42385,13.2,25.82,-423.0941,-209.1276,-293.2446,-202.2027,-185.8596,-177.2126,-239.5522,-261.5652,-390.9063,-303.01,-161.5115,-344.6573,11.28611,2.195402,2.128972,2.009185,1.799634,1.630741,1.385502,1.186879,1.070656,1.100357,0.9747394,1.054441,1.004312,1.071903
3/9/23 12:00,2,DL42385,13.29,25.9,-421.4019,-207.2375,-290.9971,-200.2154,-183.4941,-175.4151,-237.8846,-259.9166,-388.8708,-301.9872,-160.0615,-343.328,12.94108,0.4511647,0.4590221,0.5215028,0.4720039,0.487446,0.4095683,0.4011408,0.4046647,0.4349359,0.2439754,0.4007227,0.3417639,0.3984523
3/9/23 12:15,3,DL42385,13.37,25.89,-421.0497,-206.8721,-290.2287,-199.5525,-183.0551,-175.0861,-237.5744,-259.5778,-388.3878,-301.866,-159.5388,-342.9872,13.37959,0.3202046,0.3027096,0.3598226,0.3229553,0.2847289,0.2873849,0.2866767,0.2860051,0.2964917,0.2612948,0.28828,0.3006586,0.3522481
3/9/23 12:30,4,DL42385,13.41,25.92,-420.7833,-206.6443,-289.4284,-199.2778,-183.0276,-174.9716,-237.51,-259.5391,-388.4576,-301.444,-159.3647,-343.1458,13.59062,0.4755438,0.4640512,0.5530438,0.4489141,0.4680119,0.4593622,0.5018045,0.5091702,0.5171717,0.4988963,0.4942602,0.4980929,0.4831897
3/9/23 12:45,5,DL42385,13.45,25.9,-420.7217,-206.5023,-288.7822,-199.2133,-183.8805,-175.0076,-237.4624,-259.5323,-388.4007,-301.9666,-159.1661,-343.0864,13.80058,0.2802623,0.2776085,0.4171545,0.2574297,0.4570957,0.2570022,0.2527833,0.2482648,0.2794907,0.2477777,0.2582898,0.2365777,0.2584535
3/9/23 13:00,6,DL42385,13.43,25.87,-420.4228,-205.5829,-288.0861,-198.9769,-183.5698,-174.8261,-237.3307,-259.3241,-388.3173,-301.8851,-158.8731,-342.9948,14.12533,0.1636046,0.5976913,0.1861952,0.1676881,0.177098,0.173826,0.1776948,0.1716285,0.1958954,0.1777093,0.1673353,0.2014071,0.1520655
3/9/23 13:15,7,DL42385,13.44,25.87,-420.4246,-204.4654,-287.7902,-199.0536,-183.9131,-175.0427,-237.5867,-259.5021,-388.4634,-301.7711,-159.0187,-343.6131,14.06586,0.2678635,0.3301847,0.4925827,0.3907466,0.3686913,0.3809286,0.3797535,0.3795553,0.4331802,0.5131902,0.3876918,0.3552547,0.3777374
3/9/23 13:30,8,DL42385,13.44,25.84,-420.1211,-204.0835,-286.8366,-198.6436,-183.9319,-174.8412,-237.4071,-259.3448,-387.9161,-299.879,-158.7514,-343.7921,14.34506,0.2473916,0.2384607,0.2694457,0.2294531,0.2462673,0.2254942,0.2233093,0.2170405,0.3876452,0.85931,0.2122258,0.2229521,0.2168294
3/9/23 13:45,9,DL42385,13.45,25.74,-420.2039,-195.1584,-286.6885,-198.4514,-184.3847,-175.0382,-237.5723,-259.5453,-388.1368,-298.1717,-158.7805,-343.9628,14.44221,0.2974289,7.975097,0.3380956,0.3936011,0.2436091,0.2720129,0.2777074,0.2678005,0.2896667,0.3238196,0.2996615,0.2833982,0.3360724
3/9/23 14:00,10,DL42385,13.45,25.65,-419.6308,-201.5885,-285.8208,-197.8915,-184.2563,-174.6796,-237.2197,-259.2304,-387.8011,-297.5247,-158.3213,-343.6844,14.91238,0.3073718,1.707434,0.3250779,0.3627327,0.3760039,0.3445064,0.3429759,0.3474043,0.3390438,0.4166202,0.3312176,0.3341972,0.3269839
3/9/23 14:15,11,DL42385,13.46,25.5,-419.3115,-203.9189,-285.3501,-197.5473,-184.3559,-174.4876,-237.0196,-259.0586,-387.2566,-296.9625,-158.0589,-343.5325,15.18937,0.3672985,0.3321735,0.4132533,0.4271124,0.3119442,0.3434163,0.3383248,0.3310252,0.3547351,0.6284911,0.3404442,0.3185901,0.3391455
3/9/23 14:30,12,DL42385,13.46,25.29,-419.0054,-203.33,-284.6933,-197.4539,-184.4745,-174.2946,-236.8108,-258.8601,-386.9917,-298.0703,-157.8172,-343.3582,15.57481,0.2215274,0.2764145,0.2193116,0.262242,0.2669162,0.2285182,0.2249102,0.2309585,0.3108344,0.6535872,0.2200621,0.2271353,0.2123322
3/9/23 14:45,13,DL42385,13.48,25.09,-418.6901,-202.8948,-284.3684,-197.3953,-184.7312,-174.2326,-236.7275,-258.8479,-386.9214,-299.4853,-157.5652,-343.2177,15.88637,0.3211293,0.3130139,0.3847056,0.3244233,0.1956379,0.2816731,0.2741178,0.2680828,0.3807063,0.306116,0.3137622,0.2846681,0.3104562
3/9/23 15:00,14,DL42385,13.48,24.93,-418.3055,-202.5288,-283.8536,-196.8034,-184.7113,-173.9254,-236.4307,-258.4704,-386.3381,-301.6665,-157.0776,-342.9126,16.40658,0.1671324,0.1745217,0.1605961,0.1396717,0.1971935,0.1651479,0.1607651,0.1531881,0.2264795,0.86581,0.1558711,0.1880326,0.165486
3/9/23 15:15,15,DL42385,13.51,24.86,-418.2311,-202.6088,-283.7103,-196.7082,-185.1084,-174.0543,-236.6293,-258.5624,-386.3379,-303.2931,-157.1062,-343.317,16.44402,0.1847696,0.1836451,0.2091056,0.2006384,0.2193603,0.1818576,0.2258736,0.1820854,0.2334093,0.2163705,0.1874687,0.2311389,0.2536532
3/9/23 15:30,16,DL42385,13.51,24.9,-418.4222,-203.009,-283.7539,-196.9136,-185.9085,-174.5077,-237.2782,-258.9527,-386.4896,-303.8878,-157.4237,-344.1481,16.13081,0.1993796,0.2080418,0.206578,0.203046,0.2136442,0.2105332,0.2011207,0.2148375,0.2227752,0.1932597,0.2045834,0.2267663,0.2002433
3/9/23 15:45,17,DL42385,13.5,25.05,-418.4785,-203.7666,-283.5566,-196.8455,-186.215,-174.7081,-237.3327,-259.1957,-386.6452,-304.0733,-157.5582,-344.0872,16.10935,0.1674612,0.5878968,0.1472864,0.1405553,0.2048991,0.1552185,0.1561517,0.1557278,0.1814563,0.4036785,0.1643474,0.1554166,0.1506393
3/9/23 16:00,18,DL42385,13.48,25.2,-418.4681,-205.6801,-283.3002,-196.8928,-186.6252,-174.8552,-237.4798,-259.3034,-386.4631,-305.1283,-157.6362,-344.2059,16.13919,0.1767721,0.4189379,0.1674737,0.1785642,0.1921971,0.1654067,0.1701908,0.16538,0.1627083,0.2002052,0.1731932,0.166694,0.1676691
