#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),sensorID
1,5/8/23 13:00,22.03,-84.02,8.36,21446320
2,5/8/23 13:15,21.27,-5.34,6.89,21446320
3,5/8/23 13:30,21.2,-5.39,6.89,21446320
4,5/8/23 13:45,21.15,-5.42,6.89,21446320
5,5/8/23 14:00,21.1,-5.47,6.89,21446320
6,5/8/23 14:15,21.08,-5.47,6.89,21446320
7,5/8/23 14:30,21.08,-5.45,6.89,21446320
8,5/8/23 14:45,21.08,-5.44,6.89,21446320
9,5/8/23 15:00,21.06,-5.41,6.89,21446320
10,5/8/23 15:15,21.06,-5.38,6.89,21446320
11,5/8/23 15:30,21.06,-5.38,6.89,21446320
12,5/8/23 15:45,21.06,-5.36,6.89,21446320
13,5/8/23 16:00,21.06,-5.38,6.89,21446320
14,5/8/23 16:15,21.06,-5.38,6.89,21446320
15,5/8/23 16:30,21.06,-5.42,6.89,21446320
16,5/8/23 16:45,21.06,-5.47,6.89,21446320
17,5/8/23 17:00,21.06,-5.48,6.89,21446320
18,5/8/23 17:15,21.06,-5.52,6.89,21446320
19,5/8/23 17:30,21.03,-5.55,6.89,21446320
20,5/8/23 17:45,21.03,-5.61,6.89,21446320
21,5/8/23 18:00,21.03,-5.64,6.89,21446320
22,5/8/23 18:15,21.03,-5.67,6.89,21446320
23,5/8/23 18:30,21.03,-5.7,6.89,21446320
24,5/8/23 18:45,21.03,-5.75,6.89,21446320
25,5/8/23 19:00,21.01,-5.77,6.89,21446320
26,5/8/23 19:15,21.01,-5.75,6.89,21446320
27,5/8/23 19:30,21.01,-5.88,6.9,21446320
28,5/8/23 19:45,21.03,-5.86,6.9,21446320
29,5/8/23 20:00,21.03,-5.89,6.9,21446320
30,5/8/23 20:15,21.03,-5.89,6.9,21446320
31,5/8/23 20:30,21.03,-5.92,6.9,21446320
32,5/8/23 20:45,21.03,-5.95,6.9,21446320
33,5/8/23 21:00,21.03,-6,6.9,21446320
34,5/8/23 21:15,21.03,-6.03,6.9,21446320
35,5/8/23 21:30,21.03,-6.08,6.9,21446320
36,5/8/23 21:45,21.03,-6.14,6.9,21446320
37,5/8/23 22:00,21.03,-6.17,6.9,21446320
38,5/8/23 22:15,21.03,-6.22,6.9,21446320
39,5/8/23 22:30,21.03,-6.27,6.9,21446320
40,5/8/23 22:45,21.06,-6.3,6.9,21446320
41,5/8/23 23:00,21.06,-6.36,6.91,21446320
42,5/8/23 23:15,21.06,-6.44,6.91,21446320
43,5/8/23 23:30,21.06,-6.53,6.91,21446320
44,5/8/23 23:45,21.06,-6.63,6.91,21446320
45,5/9/23 00:00,21.06,-6.7,6.91,21446320
46,5/9/23 00:15,21.06,-6.77,6.91,21446320
47,5/9/23 00:30,21.06,-6.81,6.91,21446320
48,5/9/23 00:45,21.06,-6.88,6.92,21446320
49,5/9/23 01:00,21.06,-6.92,6.92,21446320
50,5/9/23 01:15,21.06,-6.97,6.92,21446320
51,5/9/23 01:30,21.06,-7.08,6.92,21446320
52,5/9/23 01:45,21.06,-7.27,6.92,21446320
53,5/9/23 02:00,21.08,-7.38,6.93,21446320
54,5/9/23 02:15,21.08,-7.47,6.93,21446320
55,5/9/23 02:30,21.08,-7.55,6.93,21446320
56,5/9/23 02:45,21.08,-7.63,6.93,21446320
57,5/9/23 03:00,21.08,-7.67,6.93,21446320
58,5/9/23 03:15,21.08,-7.72,6.93,21446320
59,5/9/23 03:30,21.08,-7.75,6.93,21446320
60,5/9/23 03:45,21.08,-7.8,6.93,21446320
61,5/9/23 04:00,21.08,-7.8,6.93,21446320
62,5/9/23 04:15,21.08,-7.81,6.93,21446320
63,5/9/23 04:30,21.08,-7.83,6.93,21446320
64,5/9/23 04:45,21.08,-8.03,6.94,21446320
65,5/9/23 05:00,21.08,-8.3,6.94,21446320
66,5/9/23 05:15,21.08,-8.86,6.95,21446320
67,5/9/23 05:30,21.1,-8.7,6.95,21446320
68,5/9/23 05:45,21.08,-7.89,6.93,21446320
69,5/9/23 06:00,21.1,-7.94,6.94,21446320
70,5/9/23 06:15,21.08,-7.42,6.93,21446320
71,5/9/23 06:30,21.08,-7.23,6.92,21446320
72,5/9/23 06:45,21.1,-7.23,6.92,21446320
73,5/9/23 07:00,21.1,-6.53,6.91,21446320
74,5/9/23 07:15,21.1,-6.66,6.91,21446320
75,5/9/23 07:30,21.1,-6.72,6.91,21446320
76,5/9/23 07:45,21.13,-6.73,6.91,21446320
77,5/9/23 08:00,21.13,-6.72,6.91,21446320
78,5/9/23 08:15,21.13,-6.73,6.91,21446320
79,5/9/23 08:30,21.13,-6.72,6.91,21446320
80,5/9/23 08:45,21.13,-6.66,6.91,21446320
81,5/9/23 09:00,21.13,-6.56,6.91,21446320
82,5/9/23 09:15,21.13,-6.45,6.91,21446320
83,5/9/23 09:30,21.13,-6.28,6.9,21446320
84,5/9/23 09:45,21.15,-6.06,6.9,21446320
85,5/9/23 10:00,21.17,-5.84,6.9,21446320
86,5/9/23 10:15,21.17,-5.75,6.89,21446320
87,5/9/23 10:30,21.2,-5.67,6.89,21446320
88,5/9/23 10:45,21.22,-5.53,6.89,21446320
89,5/9/23 11:00,21.22,-5.42,6.89,21446320
90,5/9/23 11:15,21.25,-5.3,6.89,21446320
91,5/9/23 11:30,21.25,-5.2,6.88,21446320
92,5/9/23 11:45,21.25,-5.16,6.88,21446320
93,5/9/23 12:00,21.25,-5.13,6.88,21446320
94,5/9/23 12:15,21.25,-5.16,6.88,21446320
95,5/9/23 12:30,21.22,-5.13,6.88,21446320
96,5/9/23 12:45,21.22,-5.13,6.88,21446320
97,5/9/23 13:00,21.22,-5.19,6.88,21446320
98,5/9/23 13:15,21.22,-5.17,6.88,21446320
99,5/9/23 13:30,21.2,-5.25,6.89,21446320
100,5/9/23 13:45,21.2,-5.45,6.89,21446320
101,5/9/23 14:00,21.17,-5.55,6.89,21446320
102,5/9/23 14:15,21.17,-5.64,6.89,21446320
103,5/9/23 14:30,21.17,-5.83,6.9,21446320
104,5/9/23 14:45,21.17,-5.78,6.9,21446320
105,5/9/23 15:00,21.15,-5.81,6.9,21446320
106,5/9/23 15:15,21.15,-5.86,6.9,21446320
107,5/9/23 15:30,21.15,-5.88,6.9,21446320
108,5/9/23 15:45,21.17,-5.77,6.89,21446320
109,5/9/23 16:00,21.17,-5.7,6.89,21446320
110,5/9/23 16:15,21.17,-5.47,6.89,21446320
111,5/9/23 16:30,21.2,-5.22,6.88,21446320
112,5/9/23 16:45,21.25,-5.09,6.88,21446320
113,5/9/23 17:00,21.27,-4.98,6.88,21446320
114,5/9/23 17:15,21.27,-4.88,6.88,21446320
115,5/9/23 17:30,21.27,-4.78,6.88,21446320
116,5/9/23 17:45,21.27,-4.69,6.87,21446320
117,5/9/23 18:00,21.27,-4.56,6.87,21446320
118,5/9/23 18:15,21.27,-4.59,6.87,21446320
119,5/9/23 18:30,21.27,-4.61,6.87,21446320
120,5/9/23 18:45,21.27,-4.59,6.87,21446320
121,5/9/23 19:00,21.25,-4.56,6.87,21446320
122,5/9/23 19:15,21.25,-4.52,6.87,21446320
123,5/9/23 19:30,21.25,-4.56,6.87,21446320
124,5/9/23 19:45,21.25,-4.59,6.87,21446320
125,5/9/23 20:00,21.25,-4.59,6.87,21446320
126,5/9/23 20:15,21.25,-4.56,6.87,21446320
127,5/9/23 20:30,21.25,-4.59,6.87,21446320
128,5/9/23 20:45,21.22,-4.58,6.87,21446320
129,5/9/23 21:00,21.22,-4.58,6.87,21446320
130,5/9/23 21:15,21.22,-4.58,6.87,21446320
131,5/9/23 21:30,21.22,-4.58,6.87,21446320
132,5/9/23 21:45,21.22,-4.58,6.87,21446320
133,5/9/23 22:00,21.22,-4.63,6.87,21446320
134,5/9/23 22:15,21.22,-4.67,6.87,21446320
135,5/9/23 22:30,21.22,-4.69,6.87,21446320
136,5/9/23 22:45,21.22,-4.73,6.88,21446320
137,5/9/23 23:00,21.22,-4.75,6.88,21446320
138,5/9/23 23:15,21.22,-4.75,6.88,21446320
139,5/9/23 23:30,21.22,-4.8,6.88,21446320
140,5/9/23 23:45,21.2,-4.81,6.88,21446320
141,5/10/23 00:00,21.2,-4.86,6.88,21446320
142,5/10/23 00:15,21.2,-4.89,6.88,21446320
143,5/10/23 00:30,21.2,-4.92,6.88,21446320
144,5/10/23 00:45,21.2,-4.91,6.88,21446320
145,5/10/23 01:00,21.2,-4.97,6.88,21446320
146,5/10/23 01:15,21.2,-5,6.88,21446320
147,5/10/23 01:30,21.2,-5.02,6.88,21446320
148,5/10/23 01:45,21.2,-5.03,6.88,21446320
149,5/10/23 02:00,21.2,-5.05,6.88,21446320
150,5/10/23 02:15,21.2,-5.09,6.88,21446320
151,5/10/23 02:30,21.2,-5.05,6.88,21446320
152,5/10/23 02:45,21.2,-5.05,6.88,21446320
153,5/10/23 03:00,21.22,-6.5,6.91,21446320
154,5/10/23 03:15,21.2,-6.33,6.91,21446320
155,5/10/23 03:30,21.2,-6.2,6.9,21446320
