#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv),Ch: 3 - pH   (pH),sensorID
1,3/8/23 14:34,20.56,-38.45,7.51,21446320
2,3/8/23 14:49,18.87,-0.36,6.79,21446320
3,3/8/23 15:04,18.39,-0.59,6.8,21446320
4,3/8/23 15:19,18.03,-0.59,6.8,21446320
5,3/8/23 15:34,17.82,-0.7,6.8,21446320
6,3/8/23 15:49,17.68,-1.08,6.8,21446320
7,3/8/23 16:04,17.58,-1.44,6.81,21446320
8,3/8/23 16:19,17.51,-1.81,6.82,21446320
9,3/8/23 16:34,17.46,-1.84,6.82,21446320
10,3/8/23 16:49,17.44,-1.45,6.81,21446320
11,3/8/23 17:04,17.42,-1.77,6.82,21446320
12,3/8/23 17:19,17.39,-2.16,6.82,21446320
13,3/8/23 17:34,17.39,-2.25,6.83,21446320
14,3/8/23 17:49,17.37,-2.05,6.82,21446320
15,3/8/23 18:04,17.37,-1.98,6.82,21446320
16,3/8/23 18:19,17.37,-1.91,6.82,21446320
17,3/8/23 18:34,17.37,-2.03,6.82,21446320
18,3/8/23 18:49,17.37,-2.14,6.82,21446320
19,3/8/23 19:04,17.37,-2.23,6.83,21446320
20,3/8/23 19:19,17.39,-2.31,6.83,21446320
21,3/8/23 19:34,17.39,-2.38,6.83,21446320
22,3/8/23 19:49,17.39,-2.41,6.83,21446320
23,3/8/23 20:04,17.39,-2.42,6.83,21446320
24,3/8/23 20:19,17.42,-2.45,6.83,21446320
25,3/8/23 20:34,17.42,-2.47,6.83,21446320
26,3/8/23 20:49,17.44,-2.5,6.83,21446320
27,3/8/23 21:04,17.44,-2.55,6.83,21446320
28,3/8/23 21:19,17.44,-2.61,6.83,21446320
29,3/8/23 21:34,17.46,-2.67,6.83,21446320
30,3/8/23 21:49,17.46,-2.72,6.84,21446320
31,3/8/23 22:04,17.46,-2.77,6.84,21446320
32,3/8/23 22:19,17.49,-2.81,6.84,21446320
33,3/8/23 22:34,17.49,-2.84,6.84,21446320
34,3/8/23 22:49,17.49,-2.88,6.84,21446320
35,3/8/23 23:04,17.49,-2.89,6.84,21446320
36,3/8/23 23:19,17.49,-2.91,6.84,21446320
37,3/8/23 23:34,17.49,-2.91,6.84,21446320
38,3/8/23 23:49,17.51,-2.86,6.84,21446320
39,3/9/23 00:04,17.51,-2.77,6.84,21446320
40,3/9/23 00:19,17.51,-2.69,6.83,21446320
41,3/9/23 00:34,17.51,-2.61,6.83,21446320
42,3/9/23 00:49,17.49,-2.58,6.83,21446320
43,3/9/23 01:04,17.51,-2.63,6.83,21446320
44,3/9/23 01:19,17.51,-2.7,6.84,21446320
45,3/9/23 01:34,17.51,-2.77,6.84,21446320
46,3/9/23 01:49,17.51,-2.78,6.84,21446320
47,3/9/23 02:04,17.51,-2.77,6.84,21446320
48,3/9/23 02:19,17.51,-2.7,6.84,21446320
49,3/9/23 02:34,17.51,-2.67,6.83,21446320
50,3/9/23 02:49,17.51,-2.67,6.83,21446320
51,3/9/23 03:04,17.51,-2.69,6.83,21446320
52,3/9/23 03:19,17.53,-2.7,6.84,21446320
53,3/9/23 03:34,17.53,-2.72,6.84,21446320
54,3/9/23 03:49,17.53,-2.75,6.84,21446320
55,3/9/23 04:04,17.53,-2.78,6.84,21446320
56,3/9/23 04:19,17.56,-2.8,6.84,21446320
57,3/9/23 04:34,17.56,-2.81,6.84,21446320
58,3/9/23 04:49,17.56,-2.86,6.84,21446320
59,3/9/23 05:04,17.56,-2.89,6.84,21446320
60,3/9/23 05:19,17.58,-2.95,6.84,21446320
61,3/9/23 05:34,17.58,-3.05,6.84,21446320
62,3/9/23 05:49,17.58,-3.17,6.84,21446320
63,3/9/23 06:04,17.61,-3.27,6.85,21446320
64,3/9/23 06:19,17.61,-3.34,6.85,21446320
65,3/9/23 06:34,17.63,-3.41,6.85,21446320
66,3/9/23 06:49,17.63,-3.42,6.85,21446320
67,3/9/23 07:04,17.63,-3.44,6.85,21446320
68,3/9/23 07:19,17.63,-3.39,6.85,21446320
69,3/9/23 07:34,17.63,-3.39,6.85,21446320
70,3/9/23 07:49,17.65,-3.38,6.85,21446320
71,3/9/23 08:04,17.65,-3.38,6.85,21446320
72,3/9/23 08:19,17.63,-3.38,6.85,21446320
73,3/9/23 08:34,17.63,-3.41,6.85,21446320
74,3/9/23 08:49,17.61,-3.41,6.85,21446320
75,3/9/23 09:04,17.61,-3.38,6.85,21446320
76,3/9/23 09:19,17.58,-3.38,6.85,21446320
77,3/9/23 09:34,17.56,-3.39,6.85,21446320
78,3/9/23 09:49,17.53,-3.42,6.85,21446320
79,3/9/23 10:04,17.53,-3.44,6.85,21446320
80,3/9/23 10:19,17.51,-3.45,6.85,21446320
81,3/9/23 10:34,17.53,-3.47,6.85,21446320
82,3/9/23 10:49,17.53,-3.39,6.85,21446320
83,3/9/23 11:04,17.56,-3.25,6.85,21446320
84,3/9/23 11:19,17.56,-3.17,6.84,21446320
85,3/9/23 11:34,17.56,-3.2,6.84,21446320
