DateTime,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,gust,peak_wind_gust,peak_wind_drct,feel
3/12/23 0:59,70,68,93.37,190,3,0,29.82,1009.7,,,,70
3/12/23 1:59,70,68,93.37,170,3,0,29.8,1009.1,,,,70
3/12/23 2:59,70,68,93.37,,3,0,29.81,1009.3,,,,70
3/12/23 3:59,69,68,96.29,,,0,29.81,1009.4,,,,69.1
3/12/23 5:59,69,68,96.29,,,0,29.8,1008.9,,,,69.1
3/12/23 7:59,69,68,96.29,,3,0,29.77,1008,,,,69.1
3/12/23 8:59,69,68,96.29,0,0,0,29.76,1007.6,,,,69.1
3/12/23 9:59,70,69,96.97,,,0.01,29.74,1007.2,,,,70
3/12/23 10:59,70,69,96.97,,,0,29.73,1006.8,,,,70
3/12/23 11:59,69,69,100,,3,0,29.73,1006.7,,,,69.1
3/12/23 12:59,70,70,100,0,0,0,29.75,1007.3,,,,70
3/12/23 13:59,73,71,93.77,220,7,0,29.77,1008.2,17,,,73
3/12/23 14:59,75,71,87.68,,5,0,29.79,1008.6,,,,75
3/12/23 15:59,75,72,90.4,230,6,0,29.79,1008.9,,,,75
3/12/23 16:59,76,72,87.73,230,7,0,29.81,1009.2,,,,75.9
3/12/23 18:59,77,72,84.58,230,8,0,29.76,1007.8,,,,77
3/12/23 19:59,77,72,84.58,230,7,0,29.74,1007.1,,,,77
3/12/23 20:59,76,71,85.09,220,8,0,29.73,1006.6,,,,75.9
3/12/23 21:59,76,71,85.09,220,8,0,29.72,1006.5,,,,75.9
3/12/23 22:59,75,72,90.4,240,7,0,29.73,1006.7,14,,,75
3/13/23 0:59,75,71,87.68,250,7,0,29.76,1007.8,,,,75
3/13/23 1:59,74,72,93.79,270,9,0,29.79,1008.6,,,,73.9
3/13/23 2:59,64,61,89.97,360,10,0,29.84,1010.4,19,,,64
3/13/23 3:59,63,60,90.25,,6,0,29.85,1010.9,16,,,63
3/13/23 4:59,61,58,89.52,,6,0,29.88,1011.8,,,,61
3/13/23 5:59,59,56,89.44,360,10,0,29.9,1012.5,18,,,59
3/13/23 6:59,58,55,90.04,360,6,0,29.92,1013,,,,57.9
3/13/23 7:59,57,52,83.33,10,7,0,29.93,1013.5,22,,,57
3/13/23 8:59,55,50,83.2,350,7,0,29.95,1014.1,16,,,55
3/13/23 11:59,53,46,76.75,30,7,0,30.01,1016.3,,,,53.1
3/13/23 12:59,53,45,73.89,,4,0,30.05,1017.5,,,,53.1
3/13/23 13:59,54,41,61.32,,,0,30.07,1018.1,,,,54
3/13/23 14:59,55,40,56.66,40,7,0,30.07,1018.3,,,,55
3/13/23 15:59,57,39,50.88,20,9,0,30.09,1018.9,21,,,57
3/13/23 16:59,58,40,51.02,20,10,0,30.12,1019.7,18,,,57.9
3/13/23 17:59,59,40,49.04,30,8,0,30.11,1019.4,,,,59
3/13/23 18:59,60,41,49.21,,4,0,30.11,1019.5,,,,60.1
3/13/23 19:59,64,41,42.88,10,7,0,30.07,1018.1,16,,,64
3/13/23 20:59,65,38,36.82,,5,0,30.05,1017.6,19,,,64.9
3/13/23 21:59,64,39,39.67,,5,0,30.06,1017.8,,,,64
3/13/23 23:59,62,43,49.52,,3,0,30.07,1018.2,,,,62.1
3/14/23 0:59,58,44,59.98,0,0,0,30.09,1018.7,,,,57.9
3/14/23 1:59,56,44,64.47,0,0,0,30.12,1019.8,,,,55.9
3/14/23 2:59,56,43,61.81,360,4,0,30.12,1019.8,,,,55.9
3/14/23 3:59,55,43,63.86,0,0,0,30.14,1020.4,,,,55
3/14/23 4:59,55,39,54.7,20,5,0,30.14,1020.6,,,,55
3/14/23 5:59,53,37,54.21,,4,0,30.15,1020.8,,,,53.1
3/14/23 6:59,52,36,54.26,,4,0,30.15,1020.8,,,,52
3/14/23 7:59,50,37,60.79,,4,0,30.15,1020.9,,,,50
3/14/23 8:59,50,33,52.06,,4,0,30.15,1020.8,,,,50
3/14/23 9:59,48,34,58.16,0,0,0,30.18,1022,,,,48
3/14/23 10:59,47,36,65.63,,4,0,30.21,1023,,,,44.82
3/14/23 11:59,47,36,65.63,,3,0,30.21,1023,,,,45.72
3/14/23 12:59,47,37,68.27,,4,0,30.25,1024.3,,,,44.82
3/14/23 13:59,50,37,60.79,,4,0,30.26,1024.6,,,,50
3/14/23 14:59,53,35,50.28,80,7,0,30.27,1024.8,,,,53.1
3/14/23 15:59,55,35,46.91,,5,0,30.26,1024.7,,,,55
3/14/23 16:59,58,33,39,,,0,30.26,1024.8,,,,57.9
3/14/23 17:59,60,32,34.49,20,7,0,30.25,1024.4,,,,60.1
3/14/23 18:59,60,30,31.8,,4,0,30.23,1023.6,,,,60.1
3/14/23 19:59,62,30,29.63,,,0,30.2,1022.7,,,,62.1
3/14/23 20:59,63,28.9,27.44,,4,0,30.21,1023,,,,63
3/14/23 21:59,62,33,33.58,,4,0,30.19,1022.4,,,,62.1
3/14/23 22:59,60,35,39.04,,4,0,30.21,1023,,,,60.1
3/14/23 23:59,58,39,49.26,,4,0,30.21,1023.1,,,,57.9
3/15/23 0:59,53,43,68.46,0,0,0,30.25,1024.2,,,,53.1
3/15/23 1:59,52,45,76.94,,4,0.03,30.24,1024.1,,,,52
3/15/23 2:59,51,44,76.86,30,3,0.01,30.26,1024.8,,,,51.1
3/15/23 3:59,50,43,76.76,,4,0,30.25,1024.2,,,,50
3/15/23 4:59,50,44,80.06,0,0,0,30.22,1023.2,,,,50
3/15/23 5:59,52,46,79.92,0,0,0,30.22,1023.4,,,,52
3/15/23 6:59,51,46,82.62,0,0,0,30.22,1023.2,,,,51.1
3/15/23 7:59,50,46,86.06,0,0,0,30.24,1024,,,,50
3/15/23 8:59,48,45,89.29,0,0,0,30.24,1024,,,,48
3/15/23 9:59,47,44,89.92,0,0,0,30.25,1024.3,,,,46.9
3/15/23 10:59,47,41,79.82,0,0,0,30.25,1024.4,,,,46.9
3/15/23 11:59,46,40,79.13,0,0,0,30.26,1024.6,,,,46
3/15/23 12:59,47,42,83.28,0,0,0,30.28,1025.4,,,,46.9
3/15/23 13:59,52,43,71.28,,,0,30.29,1025.5,,,,52
3/15/23 14:59,55,40,56.66,110,6,0,30.29,1025.7,,,,55
3/15/23 15:59,58,39,49.26,110,5,0,30.29,1025.7,,,,57.9
3/15/23 16:59,60,38,43.61,,3,0,30.3,1025.9,,,,60.1
3/15/23 17:59,61,37,40.77,,4,0,30.28,1025.5,,,,61
3/15/23 18:59,63,37,37.99,,3,0,30.25,1024.3,,,,63
3/15/23 19:59,63,38,39.36,130,7,0,30.22,1023.3,,,,63
3/15/23 20:59,63,45,51.78,140,5,0,30.19,1022.4,,,,63
3/15/23 21:59,63,43,47.97,140,4,0,30.18,1022,,,,63
3/15/23 22:59,62,43,49.52,,3,0,30.17,1021.6,,,,62.1
3/15/23 23:59,61,46,57.72,130,3,0,30.16,1021.2,,,,61
3/16/23 0:59,59,49,69.12,130,7,0,30.16,1021.3,,,,59
3/16/23 1:59,58,48,69.52,120,7,0,30.17,1021.6,,,,57.9
3/16/23 2:59,57,48,71.81,130,5,0,30.17,1021.6,,,,57
3/16/23 3:59,56,50,80.52,120,6,0,30.16,1021.4,,,,55.9
3/16/23 4:59,56,50,80.52,120,6,0,30.15,1021,,,,55.9
3/16/23 5:59,56,50,80.52,120,6,0,30.12,1019.8,,,,55.9
3/16/23 6:59,55,49,79.85,110,5,0,30.1,1019.3,,,,55
3/16/23 7:59,54,48,80.07,110,3,0,30.09,1018.9,,,,54
3/16/23 8:59,53,49,85.59,0,0,0,30.08,1018.6,,,,53.1
3/16/23 9:59,53,49,85.59,0,0,0,30.06,1018,,,,53.1
3/16/23 10:59,53,50,89.18,0,0,0,30.05,1017.6,,,,53.1
3/16/23 11:59,53,51,92.89,0,0,0,30.06,1018,,,,53.1
3/16/23 12:59,56,55,96.78,110,4,0,30.06,1017.8,,,,55.9
3/16/23 13:59,63,58,83.42,130,6,0,30.06,1017.8,,,,63
3/16/23 14:59,67,59,75.74,130,9,0,30.08,1018.5,,,,66.9
3/16/23 15:59,69,60,73.03,130,8,0,30.09,1019,15,,,69.1
3/16/23 16:59,70,61,73.11,140,8,0,30.09,1018.8,18,,,70
3/16/23 17:59,69,61,75.4,130,7,0,30.08,1018.5,,,,69.1
3/16/23 18:59,70,62,76.01,140,11,0,30.04,1017.1,19,,,70
3/16/23 19:59,71,62,73.22,130,11,0,30,1015.8,19,,,71.1
3/16/23 20:59,72,63,73.31,130,12,0,29.96,1014.5,20,,,72
3/16/23 21:59,70,63,78.46,130,13,0,29.93,1013.4,24,,,70
3/16/23 22:59,70,62,76.01,130,10,0,29.92,1013,18,,,70
3/16/23 23:59,68,62,81.41,130,8,0,29.92,1013.1,17,,,68
3/17/23 0:59,67,63,87.28,130,8,0,29.92,1013.1,,,,66.9
3/17/23 1:59,67,63,87.28,130,8,0,29.91,1012.7,,,,66.9
3/17/23 2:59,67,63,87.28,130,6,0,29.92,1013.1,,,,66.9
3/17/23 3:59,66,63,90.05,,5,0,29.89,1012.2,,,,66
3/17/23 4:59,67,65,93.29,170,3,0,29.87,1011.4,,,,66.9
3/17/23 5:59,68,65,89.81,,3,0,29.88,1011.6,,,,68
3/17/23 6:59,68,66,93.32,0,0,0,29.87,1011.3,,,,68
3/17/23 7:59,67,66,96.93,,3,0,29.85,1010.8,,,,66.9
3/17/23 8:59,68,65,89.81,,,0,29.82,1009.9,,,,68
3/17/23 9:59,69,65,86.48,,,0,29.82,1009.7,,,,69.1
3/17/23 10:59,68,65,89.81,,6,0,29.81,1009.3,,,,68
3/17/23 11:59,68,65,89.81,,6,0,29.82,1009.8,,,,68
3/17/23 12:59,68,65,89.81,,5,0,29.83,1010.1,,,,68
3/17/23 13:59,67,65,93.29,,3,0.01,29.83,1010.2,,,,66.9
3/17/23 14:59,67,66,96.93,290,4,0.07,29.85,1010.9,,,,66.9
3/17/23 15:59,64,64,100,360,10,0.54,29.89,1012.1,18,28,320,64
3/17/23 16:59,57,56,96.1,340,10,0.01,29.93,1013.6,23,,,57
3/17/23 17:59,56,55,96.78,350,9,0.07,29.94,1013.8,,,,55.9
3/17/23 18:59,57,56,96.1,10,7,0.04,29.9,1012.3,16,,,57
3/17/23 19:59,59,55,86.56,350,10,0,29.88,1011.9,20,,,59
3/17/23 20:59,55,52,89.59,320,7,0,29.92,1013,,,,55
3/17/23 21:59,53,50,89.18,340,9,0,29.91,1012.9,19,,,53.1
3/17/23 22:59,52,48,86.17,350,9,0,29.94,1013.9,19,,,52
3/17/23 23:59,51,47,85.48,10,9,0,29.98,1015,18,,,51.1
3/18/23 0:59,50,46,86.06,360,9,0,30.01,1016.1,17,,,50
3/18/23 1:59,50,45,82.86,360,7,0,30.03,1016.8,,,,50
3/18/23 2:59,50,44,80.06,,5,0,30.06,1017.8,,,,50
3/18/23 3:59,49,43,79.98,10,7,0,30.06,1017.8,,,,45.38
3/18/23 4:59,49,41,74.05,360,6,0,30.05,1017.6,,,,45.88
3/18/23 5:59,49,37,63.34,360,5,0,30.06,1017.8,,,,46.47
3/18/23 6:59,50,38,62.98,,,0,30.06,1017.7,,,,50
3/18/23 7:59,49,37,63.34,360,7,0,30.08,1018.5,,,,45.38
3/18/23 8:59,49,34,56.23,20,8,0,30.06,1017.7,,,,44.93
3/18/23 9:59,49,30.9,49.63,10,9,0,30.08,1018.5,20,,,44.53
3/18/23 10:59,49,30,47.85,10,7,0,30.12,1019.8,,,,45.38
3/18/23 11:59,49,27,42.32,10,8,0,30.14,1020.5,24,,,44.93
3/18/23 12:59,48,28,45.61,360,7,0,30.16,1021.3,18,,,44.28
3/18/23 13:59,49,28,44.1,10,10,0,30.18,1021.9,23,,,44.16
3/18/23 14:59,48,32,53.67,,5,0,30.19,1022.3,18,,,45.4
